"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"UBA52_UBE2Q1","P",97,3,0,3
"UBA52_UBE2U","P",93,0,7,-7
"UBA52_UBE2V2","P",98,0,2,-2
"UBA52_UBE2W","P",96,0,4,-4
"UBA52_UBE2Z","P",98,0,2,-2
"UBA6_UBB","P",94,0,6,-6
"UBA6_UBC","P",91,0,9,-9
"UBB_UBE2B","P",97,0,3,-3
"UBB_UBE2C","P",96,0,4,-4
"UBB_UBE2D1","P",99,0,1,-1
"UBB_UBE2D2","P",99,0,1,-1
"UBB_UBE2E1","P",99,0,1,-1
"UBB_UBE2E3","P",99,0,1,-1
"UBB_UBE2G1","P",99,0,1,-1
"UBB_UBE2H","P",96,4,0,4
"UBB_UBE2I","P",99,1,0,1
"UBB_UBE2J1","P",99,0,1,-1
"UBB_UBE2L3","P",98,0,2,-2
"UBB_UBE2L5","P",97,0,3,-3
"UBB_UBE2S","P",98,0,2,-2
"UBB_UBE2T","P",99,0,1,-1
"UBB_UBE2V1","P",97,0,3,-3
"UBB_UBE2V2","P",98,0,2,-2
"UBC_UBE2B","P",99,0,1,-1
"UBC_UBE2C","P",97,0,3,-3
"UBC_UBE2D2","P",99,0,1,-1
"UBC_UBE2D4","P",97,0,3,-3
"UBC_UBE2G1","P",99,0,1,-1
"UBC_UBE2K","P",99,0,1,-1
"UBC_UBE2N","P",99,0,1,-1
"UBC_UBE2NL","P",98,0,2,-2
"UBC_UBE2Q1","P",98,0,2,-2
"UBC_UBE2R2","P",98,0,2,-2
"UBC_UBE2S","P",99,1,0,1
"UBC_UBE2U","P",99,0,1,-1
"UBC_UBE2V2","P",97,0,3,-3
"UBC_UBE2W","P",99,1,0,1
"UBE2I","",1,0,99,-99
"UHMK1","P",0,0,100,-100
"USF1","M",0,100,0,100
"USF2","M",0,100,0,100
"VDR","M",0,100,0,100
"WDR83","P",75,25,0,25
"WT1","M",0,100,0,100
"WWP2","",0,0,100,-100
"WWTR1","",0,100,0,100
"XBP1","M",0,100,0,100
"YBX1","M",0,100,0,100
"YY1","M",0,100,0,100
"ZBTB16","M",0,0,100,-100
"ZBTB17","M",0,100,0,100
"ZEB1","M",0,0,100,-100
"ZFPM2","P",0,0,100,-100
