"ensembl","entrez","hgnc_symbol","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"ENSG00000137710",5962,"RDX",5.75690933906639,5.2484107202343,5.87786876235795,6.20066739988657,5.73350452351535,5.85284695079093,5.94637381763887,5.82219946670097,5.55073370886971,5.45341597542655
"ENSG00000072958",8907,"AP1M1",7.73744513043569,7.21336327305894,8.0746532145811,7.92091772989458,7.60863579636875,7.79835964660664,7.84014961629098,7.56862682710076,7.39857810079612,7.57682050451086
"ENSG00000102225",5127,"CDK16",4.81020568041892,5.08409300646659,5.18529622415279,4.93957821688211,5.26100236490234,5.43076458906773,5.30933797680237,5.03511598814263,5.37016909039387,4.96415089569497
"ENSG00000230313",NA,"HCG24",5.79111981887743,5.70391296727921,5.52286767073548,6.22612151344596,5.89275163095085,5.85284695079093,5.69053850140179,6.05424906441673,5.62984968594271,6.21369817828672
"ENSG00000223979",NA,"SMCR2",5.64725700924983,5.83290441584397,5.59101768913044,5.5693428452364,5.89275163095085,5.81741620535947,5.60034975547165,5.73297438668983,5.46475892294492,5.56951132867431
"ENSG00000235897",NA,"TM4SF19-AS1",4.91667051133938,5.50304654230017,4.33057497578978,5.77263541012584,5.46083483178187,5.03632149234958,5.11665755422071,5.40772933831137,5.62984968594271,5.21966779382149
"ENSG00000105341",55101,"ATP5SL",9.24916731364861,9.49557128310896,8.97953245574353,8.86144047439078,8.92985497176944,9.16099112268951,9.02139909089321,9.16495025857333,8.99927277455465,8.76359703009062
"ENSG00000135473",9924,"PAN2",9.82712919616633,9.7845971778487,9.63978014628723,9.6916608018817,9.60401511106916,9.73371080373178,9.86277125382213,10.1199219904911,10.2424195956689,10.0174993240585
"ENSG00000207750",693138,"MIR553",5.38442102628343,5.1707204069151,4.76259711294854,4.68391578200042,5.26100236490234,5.03632149234958,4.63083304763756,5.16099600555359,4.99646340112394,5.32086016823607
"ENSG00000104823",1891,"ECH1",5.21796471576581,5.55712035477005,5.97470160456205,5.4243474966848,5.8317482755834,5.70375863818237,5.4293193587106,5.44966713376282,5.62984968594271,5.67353010042903
"ENSG00000167701",2875,"GPT",5.94808552740883,5.98469086696294,5.87786876235795,6.00595668740216,5.86265995890414,6.26138140491486,6.17487889619506,5.9310913737922,6.13939243728111,6.15004352637136
"ENSG00000010318",51533,"PHF7",5.8243037804277,6.05377817311011,6.46556698206421,5.94397711794276,6.20421546043265,6.13077650060649,6.05564984534239,6.26831228351072,6.01135079393048,5.79799548830163
"ENSG00000104866",284352,"PPP1R37",4.33057497578978,4.86638489070362,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.64815398230621,4.33057497578978,4.64926641150223
"ENSG00000115541",3336,"HSPE1",6.72787536056462,7.28119027002246,7.15822528316163,6.65102895632423,6.57833068585008,6.73372448743807,6.80531564093455,7.28627581304845,7.43591952817241,6.47445538628141
"ENSG00000060491",11054,"OGFR",4.81020568041892,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.33057497578978,4.63083304763756,4.77880194166747,4.33057497578978,4.33057497578978
"ENSG00000221055",100302128,"MIR1302-3",6.18659515810858,6.05377817311011,5.59101768913044,5.80905255324823,6.24917902937729,5.95296984262176,6.15579765515544,6.00651432485502,6.27724143156544,5.79799548830163
"ENSG00000240682",57461,"ISY1",4.81020568041892,4.33057497578978,4.76259711294854,4.68391578200042,4.80179550786164,5.11771503819928,5.21887707152116,5.10087059637445,4.90851164935756,4.88035503537441
"ENSG00000104164",26258,"BLOC1S6",5.27718777135377,5.31929181001909,5.3701310693898,5.11302029451282,4.90643818311714,5.19077974789163,5.16949691998761,5.21664631009443,5.07345255402583,5.10351687046917
"ENSG00000148488",338596,"ST8SIA6",5.48018580065942,6.05377817311011,5.28283831555634,5.87850992423952,5.66269278052598,5.88720103833144,5.56843983185842,5.48980922821612,5.50869773432627,6.49120442702893
"ENSG00000134152",79768,"KATNBL1",6.96023099575781,6.32379910332462,6.26259105815172,6.80507138020003,6.89648398873408,6.54887236456502,6.73347668208994,7.0013390371996,7.06934234861957,6.60281264854839
"ENSG00000151116",55293,"UEVLD",4.67050226832838,4.33057497578978,4.33057497578978,5.03209247546797,5.07080979827573,4.94326711770608,4.63083304763756,4.96196522107549,5.07345255402583,4.64926641150223
