ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score
MED8,0.2884320934299396,-16.443093040958964,6.344635769263287,1.4416365176942402e-4,9.685347559071304e-4,0.7939400397155616,0.8693010993337509
SYT1,-0.6484848571383957,-11.034423646650376,-6.343866645180956,1.442929463744885e-4,9.687702127912261e-4,0.7929750063842853,1.9543901889421604
TNFRSF21,-0.4240466029990948,-17.91625502905947,-6.34021826514595,1.449079887619209e-4,9.722645016212694e-4,0.78839626496924,1.27731978017052
PAPOLA,0.25224857083605023,-14.361607305421133,6.338218211130053,1.452463709520536e-4,9.734925072376939e-4,0.7858854435992555,0.7596887941544074
ECEL1,0.6429552838143842,-21.293484112112782,6.338017201714156,1.452804267051875e-4,9.734925072376939e-4,0.7856330720524696,1.9363674594359594
ENPP1,0.38819524534016736,-16.58951710640536,6.336744528023297,1.4549625014604706e-4,9.74303553909588e-4,0.7840350805607255,1.1689745601675519
RALGAPA2,0.2939606622797868,-16.136881268683577,6.335781421072996,1.4565980905073694e-4,9.747637872607584e-4,0.7828256453782423,0.8851451304901137
FUT9,-0.44302140872508744,-17.080587949817172,-6.334731729517898,1.4583830071833505e-4,9.753232876276943e-4,0.7815073418492862,1.3338716313857681
C2orf69,-0.32822319782634146,-15.648665864225594,-6.332526189002439,1.462141135732986e-4,9.766818511786264e-4,0.7787369413991634,0.9880328579616205
PPFIBP2,0.48352462160277554,-19.346332263236594,6.3322380360270065,1.462632913934542e-4,9.766818511786264e-4,0.7783749425836746,1.4555284847043821
XRCC4,0.3221682659569627,-14.686276590757604,6.331867850519398,1.4632649584736692e-4,9.766818511786264e-4,0.7779098725270703,0.9698060181791672
DGKI,-0.2975309392383352,-15.538616637065354,-6.327775283988966,1.470272394597561e-4,9.807222546442784e-4,0.7727671168623651,0.8951081352112706
FAM167A,-0.35671150639687355,-18.8204128035578,-6.326366067184408,1.4726937758354806e-4,9.817003451240535e-4,0.7709957737854314,1.0729957222755395
ZNF749,0.5008998707176353,-18.996354045184688,6.324942530521891,1.4751441818441902e-4,9.82696503251875e-4,0.7692061664564012,1.5064967283551167
TBCEL,0.30985798482334204,-14.61347419897984,6.322985197095418,1.4785207082015602e-4,9.843079248448082e-4,0.7667450591174756,0.9317023746366817
PCDHGA3,-0.4526509334681137,-19.9824266605523,-6.3220651398136845,1.480110780016728e-4,9.84728718950935e-4,0.765588025855541,1.3609780458376302
KDM5A,0.33096063481349525,-15.966491844682372,6.317847563362387,1.4874236536733537e-4,9.889539285969212e-4,0.7602827200263391,0.9944784386760095
UQCC3,-0.44286939411891524,-18.0129567953842,-6.314124443296026,1.4939119646884534e-4,9.918772917086348e-4,0.7555974509748022,1.3301768489893824
MAP2K3,0.3230317402310874,-18.332149770547282,6.314089169828832,1.493973583559802e-4,9.918772917086348e-4,0.7555530532358166,0.9702394160675919
MPDU1,0.2640773404632242,-14.133086792478984,6.3136646640339436,1.4947153661413323e-4,9.918772917086348e-4,0.7550187266902153,0.7931673971865126
PBX3,0.5821203358555955,-16.676580571761114,6.309685241388275,1.5016885984746634e-4,9.956591781408403e-4,0.7500086653001112,1.747460806648547
LNPK,-0.23966023724177887,-12.37796092601669,-6.309307838595633,1.50235177088865e-4,9.956591781408403e-4,0.7495334101089028,0.7194335014538823
LENG8,0.28244856128200446,-15.826447219854895,6.304372160700745,1.5110542330766283e-4,0.0010007813441878005,0.7433162931168642,0.8472498770200159
PLXNA4,-0.4728859535543677,-11.842199316155803,-6.300188735012414,1.5184734259056238e-4,0.0010050475431348297,0.7380442245283483,1.4176238452736294
ATP5F1B,-0.32378999431666955,-9.676078270825402,-6.299320438767506,1.520018302347704e-4,0.001005422659577352,0.7369496849873851,0.9706095074746136
RIC8B,-0.2836327092277653,-15.663644227121441,-6.297091133701952,1.5239925522318035e-4,0.0010074031797035826,0.7341390576111841,0.8499895621180027
TMEM35A,-0.4806339767663754,-12.456044483487233,-6.295336079211119,1.5271293189742254e-4,0.0010088279093660708,0.7319258879053567,1.4400673078500654
IGFBP4,-0.532425483764392,-19.548581118054145,-6.294573843311789,1.5284938387198995e-4,0.0010090808072062843,0.730964562125358,1.5951861776278078
MRPL19,-0.26113759841407713,-14.294661861982622,-6.293372898089986,1.530646416035185e-4,0.0010098533061890672,0.7294497844245704,0.7823007951836906
ACYP2,-0.42011904898261676,-14.690565846955336,-6.288092111438483,1.5401510449090914e-4,0.0010154722636703368,0.7227867615468604,1.2575557655261584
MRPL34,-0.2607655725225193,-16.643854950399636,-6.2867618927032485,1.5425553823136194e-4,0.001016405562487288,0.7211077810824804,0.780453878622111
FBLIM1,-0.4417936817059811,-17.273600273426716,-6.286165359776392,1.5436349307336274e-4,0.0010164653076880816,0.7203547711711131,1.3222475966549274
MYH9,0.605973681923885,-10.72437428809509,6.284164073589121,1.5472626942979404e-4,0.0010182018716189838,0.7178281834719407,1.8131739139954206
SULT4A1,-0.66184312026847,-14.713234594401941,-6.283434656438001,1.5485872329079085e-4,0.0010184215078093662,0.7169071761776173,1.9802825580992367
SNRPD3,0.45985359230872014,-13.300002149965023,6.282472401028891,1.550336472384636e-4,0.0010189199871893653,0.7156920655486765,1.3758175312213345
USP35,-0.30856085885054796,-14.776650856229026,-6.280129942117716,1.5546037390607866e-4,0.0010210716826712987,0.7127335600683722,0.9228881777992031
ZFYVE19,-0.26748117119041126,-13.877122951452069,-6.277325448200508,1.5597295619603245e-4,0.0010237841741628465,0.7091905563277177,0.7997129556095716
CFAP337,-0.42091493648585754,-20.219815734471165,-6.274802681517677,1.564356225084785e-4,0.0010261657713877795,0.7060025806729513,1.2580231859261335
