,Node1,Sign,Node2,Weight
243,ACVR2A,1,SMAD2,0
244,ACVR2B,1,ACVR1,0
245,ACVR2B,1,ACVR1B,0
246,ACVR2B,1,ACVR1C,0
247,ACVR2B,1,ACVRL1,0
248,ACVR2B,1,BMPR1A,0
249,ACVR2B,1,BMPR1B,0
250,ACVR2B,1,SMAD2,0
251,ACVR2B,1,SMAD3,0
252,ACVRL1,1,SMAD1,0
253,ADA,1,ADORA1,0
254,ADAM10,1,APP,0
255,ADAM10,1,BTC,0
256,ADAM10,1,CD44,0
257,ADAM10,1,CDH1,0
258,ADAM10,1,EGF,0
259,ADAM10,1,ERBB2,0
260,ADAM10,1,NOTCH1,0
261,ADAM10,1,NOTCH2,0
262,ADAM10,1,NOTCH3,0
263,ADAM12,1,ITGA9,0
264,ADAM12,1,ITGB1,0
265,ADAM12,1,PIK3CA,0
266,ADAM12,1,SDC4,0
267,ADAM15,1,ITGA5,0
268,ADAM15,1,ITGA9,0
269,ADAM15,1,ITGB1,0
270,ADAM15,1,ITGB3,0
271,ADAM17,-1,GP1BA,0
272,ADAM17,-1,MUC1,0
273,ADAM17,-1,PTPRF,0
274,ADAM17,1,APP,0
275,ADAM17,1,AREG,0
276,ADAM17,1,ERBB4,0
277,ADAM17,1,EREG,0
278,ADAM17,1,HBEGF,0
279,ADAM17,1,ITGA5,0
280,ADAM17,1,ITGB1,0
281,ADAM17,1,NOTCH1,0
282,ADAM17,1,TGFA,0
283,ADAM17,1,TNF,0
284,ADAM2,1,ITGA6,0
285,ADAM2,1,ITGB1,0
286,ADAM23,1,ITGA5,0
287,ADAM23,1,ITGB3,0
288,ADAM9,-1,FGFR2,0
289,ADAM9,1,APP,0
290,ADAM9,1,ITGA6,0
291,ADAM9,1,ITGAV,0
292,ADAM9,1,ITGB1,0
293,ADAM9,1,ITGB5,0
294,ADAMTS1,1,VCAN,0
295,ADAMTS13,-1,VWF,0
296,ADAMTS4,-1,ACAN,0
297,ADAMTS5,-1,ACAN,0
298,ADARB1,1,EIF2AK2,0
299,ADCK5,1,SOX9,0
300,ADCY5,1,CAMP,0
301,ADCYAP1,1,ADCYAP1R1,0
302,ADCYAP1,1,VIPR1,0
303,ADCYAP1,1,VIPR2,0
304,ADD1_ADD2_EPB41_GYPC_SLC2A1_SLC4A1_STOM,1,SPTB,0
305,ADGRG1,1,GNA12,0
306,ADGRG1,1,GNA13,0
307,ADGRG1,1,RHOA,0
308,ADGRV1,-1,ADCY6,0
309,ADGRV1,1,USH2A,0
310,ADGRV1,1,VEZT,0
311,ADGRV1,1,WHRN,0
312,ADIPOQ,1,ADIPOR1,0
313,ADIPOQ,1,ADIPOR2,0
314,ADIPOR1,1,APPL1,0
315,ADIPOR2,1,APPL1,0
316,ADM,1,CALCR,0
317,ADM,1,CALCRL,0
318,ADM,1,GPR182,0
319,ADM,1,MRGPRX2,0
320,ADM,1,RAMP1,0
321,ADM,1,RAMP2,0
322,ADM,1,RAMP3,0
323,ADM2,1,CALCR,0
324,ADM2,1,CALCRL,0
325,ADM2,1,RAMP1,0
326,ADM2,1,RAMP2,0
327,ADM2,1,RAMP3,0
328,ADNP,-1,CTCF,0
329,ADNP,1,ACTL6A_ARID1A_ARID1B_ARID2_SMARCA4_SMARCB1_SMARCC1_SMARCC2_SMARCD1_SMARCE1,0
330,ADNP,1,CTNNB1,0
331,ADNP,1,MAP1LC3B,0
332,ADORA1,1,GNAI1,0
333,ADORA1,1,GNAI3,0
334,ADORA1,1,GNAO1,0
