"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"502","11","GO Biological Process","","Positive regulation of immune response","0.0103","SPI1|RARA|CASP6|PRKCD|MYB|GATA2|ZC3H12A|GATA3|NFATC2|RELA|NR4A3","45910","46314|46323|46167|46008|46332|46044|46350|46125|46347|46200|46377","5.7E-4","","GO:0050778","0.1987162775294828","0"
"22","3","GO Biological Process","","Cardiac muscle cell proliferation","0.0103","GATA6|SMAD1|JARID2","45910","46278|46317|46275","5.7E-4","","GO:0060038","0.1987162775294828","0"
"54","4","GO Biological Process","","Positive regulation of biomineral tissue development","0.0103","CEBPB|SMAD3|ATF4|TFAP2A","45910","46053|46215|46197|46056","5.7E-4","","GO:0070169","0.1987162775294828","0"
"54","4","GO Biological Process","","Mesenchyme morphogenesis","0.0103","SOX9|SMAD2|SMAD3|HNF1A","45910","46239|46113|46215|46083","5.7E-4","","GO:0072132","0.1987162775294828","0"
"1917","25","Reactome Pathways","","Metabolism of proteins","0.0107","RARA|SMAD2|CSNK2A2|EPAS1|STAT3|GATA6|TP53|SMAD1|SP3|PGR|KLHL22|SMAD3|NFKB2|NR5A1|GATA3|NFE2L2|RELA|PPARA|MITF|SATB1|HIF1A|NR1H3|MYC|CTNNB1|TFAP2A","45910","46323|46113|46080|46386|46305|46278|46335|46317|46218|46227|46086|46215|46098|46320|46125|46221|46200|46119|46146|46188|46071|46140|46191|46233|46056","7.6E-4","","HSA-392499","0.19706162223147902","0"
"55","4","GO Biological Process","","Cellular response to glucose starvation","0.0108","TP53|ATF4|ZC3H12A|NFE2L2","45910","46335|46197|46350|46221","6.1E-4","","GO:0042149","0.19665762445130502","0"
"55","4","GO Biological Process","","Regulation of carbohydrate catabolic process","0.0108","STAT3|TP53|PPARA|HIF1A","45910","46305|46335|46119|46071","6.1E-4","","GO:0043470","0.19665762445130502","0"
"55","4","GO Biological Process","","ERK1 and ERK2 cascade","0.0108","SOX9|MAPK3|DUSP9|MYC","45910","46239|46029|46359|46191","6.1E-4","","GO:0070371","0.19665762445130502","0"
"33","4","DISEASES","","Acute myeloid leukemia","0.0108","SPI1|RARA|RUNX1|CBFB","45910","46314|46323|46194|46269","9.85E-5","","DOID:9119","0.19665762445130502","0"
"159","6","Reactome Pathways","","Regulation of TP53 Activity","0.0108","CSNK2A2|TP63|KAT6A|TP53|HIPK1|AKT1","45910","46080|46128|46185|46335|46149|46374","7.7E-4","","HSA-5633007","0.19665762445130502","0"
"4","2","GO Biological Process","","Positive regulation of endodeoxyribonuclease activity","0.0111","PRKCD|AKT1","45910","46008|46374","6.3E-4","","GO:0032079","0.19546770212133427","0"
"4","2","GO Biological Process","","Positive regulation of transcription by glucose","0.0111","USF2|SRF","45910","46371|46368","6.3E-4","","GO:0046016","0.19546770212133427","0"
"4","2","GO Biological Process","","Harderian gland development","0.0111","SOX9|RARG","45910","46239|46107","6.3E-4","","GO:0070384","0.19546770212133427","0"
"4","2","GO Biological Process","","Oncogene-induced cell senescence","0.0111","SPI1|HMGA1","45910","46314|46152","6.3E-4","","GO:0090402","0.19546770212133427","0"
"4","2","GO Biological Process","","Positive regulation of DNA methylation","0.0111","WT1|MYC","45910","46242|46191","6.3E-4","","GO:1905643","0.19546770212133427","0"
