"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"971","59","GO Biological Process","","Negative regulation of transcription by RNA polymerase II","2.16E-38","NFKB1|SPI1|NANOG|EGR1|SOX9|DPF2|RARA|NR0B2|STAT3|TP63|JDP2|GATA6|TP53|PLK1|RUNX1|CEBPB|SP3|REST|EZH2|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|GABPA|WWP2|ETS2|NFKB2|JUN|YBX1|ATRX|SP2|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|CBFB|HSF1|HNF1A|MEF2A|NR1H3|MYC|NR4A3|PITX2|CTNNB1|TFAP2A","45910","46254|46314|46245|46296|46239|46050|46323|46356|46305|46128|46155|46278|46335|46035|46194|46053|46218|46122|46026|46287|46215|46197|46332|46275|46158|46020|46044|46065|46212|46032|46098|46302|46248|46299|46224|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46269|46203|46083|46170|46140|46191|46377|46308|46233|46056","5.36E-41","","GO:0000122","3.7665546248849067","0"
"5660","111","GO Cellular Component","","Intracellular organelle lumen","2.25E-38","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|DUSP23|THEM4|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|URI1|ETS1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|UHMK1|HSF1|FLI1|HIF1A|NKRF|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46386|46305|46128|46167|46368|46185|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46026|46338|46227|46182|46008|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46161|46137|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46092|46290|46077|46284|46347|46221|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46383|46203|46041|46071|46230|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46131|46056","7.7E-41","","GO:0070013","3.764781748188864","0"
"2403","81","GO Biological Process","","Negative regulation of nitrogen compound metabolic process","3.58E-38","NFKB1|SPI1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|CSNK2A2|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|PLK1|RUNX1|CEBPB|SP3|REST|EZH2|GSK3B|PRKCD|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|ATRX|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|LATS1|HNF1A|NKRF|AKT1|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46245|46296|46206|46329|46239|46050|46323|46356|46113|46080|46365|46305|46128|46368|46185|46155|46278|46335|46035|46194|46053|46218|46122|46026|46338|46008|46287|46215|46173|46197|46332|46275|46158|46020|46044|46293|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46299|46224|46110|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46152|46269|46203|45999|46083|46230|46374|46170|46326|46140|46191|46377|46308|46233|46131|46056","9.13E-41","","GO:0051172","3.7446116973356127","0"
"2760","85","GO Biological Process","","Negative regulation of macromolecule metabolic process","6.49E-38","NFKB1|SPI1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|CSNK2A2|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|PLK1|RUNX1|CEBPB|SMAD1|SP3|REST|EZH2|GSK3B|PGR|PRKCD|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|ATRX|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|LATS1|HIF1A|HNF1A|NKRF|AKT1|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46245|46296|46206|46329|46239|46050|46323|46356|46113|46080|46365|46305|46128|46368|46185|46155|46278|46335|46005|46035|46194|46053|46317|46218|46122|46026|46338|46227|46008|46287|46215|46173|46197|46332|46275|46158|46020|46044|46293|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46299|46224|46110|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46152|46269|46203|45999|46071|46083|46230|46374|46170|46326|46140|46191|46377|46308|46233|46131|46056","1.7E-40","","GO:0010605","3.718775530319963","0"
"6207","114","GO Biological Process","","Positive regulation of biological process","1.41E-37","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP9|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|KLF5|WT1|GATA3|E2F4|GLRX|SRY|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|RELA|PPARA|RARG|NFATC1|MITF|TNIK|HMGA1|HIPK1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46026|46338|46227|46182|46008|46086|46287|46215|46197|46281|46332|46275|46158|46020|46044|46134|46359|46293|46065|46212|46032|46344|46089|46098|46302|46260|46263|46248|46116|46350|46299|46320|46341|46257|46242|46125|46362|46068|46023|46290|46236|46077|46284|46347|46221|46200|46119|46107|46311|46146|46209|46152|46149|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46233|46179|46131|46056","3.79E-40","","GO:0048518","3.685078088734462","0"
"2982","87","GO Biological Process","","Negative regulation of metabolic process","1.98E-37","NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|SMAD2|CSNK2A2|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|PLK1|RUNX1|CEBPB|SMAD1|SP3|REST|EZH2|GSK3B|PGR|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|ATRX|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|NR2F2|NFATC2|HMX1|RELA|PPARA|RARG|MITF|DCAF1|SATB1|HMGA1|CBFB|HSF1|LATS1|HIF1A|HNF1A|NKRF|AKT1|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46101|46245|46296|46206|46329|46239|46050|46323|46356|46113|46080|46365|46305|46128|46368|46185|46155|46278|46335|46005|46035|46194|46053|46317|46218|46122|46026|46338|46227|46008|46086|46287|46215|46173|46197|46332|46275|46158|46020|46044|46293|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46299|46224|46110|46257|46242|46125|46023|46092|46077|46347|46266|46200|46119|46107|46146|46353|46188|46152|46269|46203|45999|46071|46083|46230|46374|46170|46326|46140|46191|46377|46308|46233|46131|46056","5.43E-40","","GO:0009892","3.6703334809738473","0"
"4003","96","GO Molecular Function","","Nucleic acid binding","2.43E-36","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|E2F3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|RUNX1|JUNB|CEBPB|SMAD1|FOS|SP3|REST|STAT2|EZH2|PGR|SP1|RARB|SMAD3|ATF4|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|SATB1|HMGA1|EWSR1|HIPK1|CBFB|UHMK1|HSF1|FLI1|HIF1A|HNF1A|NKRF|SP7|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46323|46164|46113|46074|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46194|46272|46053|46317|46002|46218|46122|46038|46026|46227|46182|46287|46215|46197|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46290|46236|46077|46347|46221|46266|46200|46119|46107|46311|46146|46188|46152|46062|46149|46269|46383|46203|46041|46071|46083|46230|46059|46170|46104|46143|46140|46191|46377|46308|46179|46056","8.38E-39","","GO:0003676","3.5614393726401685","0"
"5977","111","GO Molecular Function","","Heterocyclic compound binding","5.5E-36","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46323|46164|46113|46080|46074|46029|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46287|46215|46197|46281|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46179|46056","2.01E-38","","GO:1901363","3.525963731050576","0"
"353","41","GO Molecular Function","","RNA polymerase II-specific DNA-binding transcription factor binding","1.29E-35","SPI1|AHR|EGR2|NR0B2|SMAD2|EPAS1|STAT3|SRF|KAT6A|GATA6|TP53|CEBPB|FOS|SP3|REST|GSK3B|SP1|SMAD3|ATF4|GATA2|WWP2|ETS2|JUN|NCOA3|GATA3|ETS1|NFE2L2|RELA|PPARA|RARG|NFATC1|DCAF1|HMGA1|HSF1|LATS1|HIF1A|MEF2A|GTF2I|NR4A3|PITX2|CTNNB1","45910","46314|46206|46251|46356|46113|46386|46305|46368|46185|46278|46335|46053|46002|46218|46122|46338|46182|46215|46197|46044|46212|46032|46302|46263|46125|46290|46221|46200|46119|46107|46311|46353|46152|46203|45999|46071|46170|46104|46377|46308|46233","4.96E-38","","GO:0061629","3.488941028970075","0"
"6050","111","GO Molecular Function","","Organic cyclic compound binding","1.7E-35","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|RARA|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|EPAS1|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|RARB|SMAD3|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|GABPA|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|NR1H3|MYC|NR4A3|PITX2|DLX5|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46323|46164|46113|46080|46074|46029|46386|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46287|46215|46197|46281|46332|46275|46158|46020|46044|46134|46065|46032|46344|46089|46098|46302|46260|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46140|46191|46377|46308|46179|46056","6.91E-38","","GO:0097159","3.4769551078621723","0"
"5191","104","GO Cellular Component","","Intracellular non-membrane-bounded organelle","1.35E-34","CEBPE|USF2|NFKB1|SPI1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|STAT2|EZH2|GSK3B|PGR|SP1|KLHL22|RARB|SMAD3|ATF4|CDK10|FOXM1|E2F1|NFYA|GABPA|ETS2|POU2F1|NFKB2|JUN|RUNX2|NCOA3|YBX1|ZC3H12A|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|SRY|ETS1|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46245|46296|46206|46251|46329|46239|46050|46323|46356|46164|46113|46080|46074|46029|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46038|46026|46338|46227|46182|46086|46287|46215|46197|46281|46158|46020|46134|46065|46032|46089|46098|46302|46260|46263|46248|46350|46299|46320|46341|46224|46110|46257|46242|46125|46362|46023|46290|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","6.6E-37","","GO:0043232","3.3869666231504993","0"
"4736","99","GO Biological Process","","Negative regulation of cellular process","6.51E-33","NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|PTPRE|SMAD2|CSNK2A2|E2F3|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|TLX3|PLK1|RUNX1|CEBPB|SMAD1|PRKACA|SP3|REST|STAT2|EZH2|GSK3B|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|DUSP9|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|STK40|ATRX|TFDP1|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|ETS1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|CBFB|PTPRG|HSF1|LATS1|HIF1A|HNF1A|NKRF|AKT1|MEF2A|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46101|46245|46296|46206|46329|46239|46050|46323|46356|46176|46113|46080|46074|46365|46305|46128|46368|46185|46155|46278|46335|46047|46035|46194|46053|46317|46014|46218|46122|46038|46026|46338|46008|46086|46287|46215|46173|46197|46281|46332|46275|46158|46020|46044|46359|46293|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46011|46299|46341|46224|46110|46257|46242|46125|46023|46092|46290|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46269|46017|46203|45999|46071|46083|46230|46374|46170|46326|46140|46191|46377|46308|46233|46131|46056","1.83E-35","","GO:0048523","3.218641901143181","0"
"5313","103","GO Biological Process","","Negative regulation of biological process","2.09E-32","NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|IRF1|SOX9|DPF2|RARA|NR0B2|PTPRE|SMAD2|CSNK2A2|E2F3|PPM1F|STAT3|TP63|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|CEBPB|SMAD1|PRKACA|SP3|REST|STAT2|EZH2|GSK3B|PGR|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|DUSP9|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|NFKB2|JUN|RUNX2|YBX1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|SRY|URI1|ETS1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|SATB1|HMGA1|CBFB|PTPRG|HSF1|LATS1|HIF1A|HNF1A|NKRF|AKT1|MEF2A|GTF2I|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|ENC1|TFAP2A","45910","46254|46314|46101|46245|46296|46206|46329|46239|46050|46323|46356|46176|46113|46080|46074|46365|46305|46128|46368|46185|46155|46278|46335|46005|46047|46035|46194|46053|46317|46014|46218|46122|46038|46026|46338|46227|46008|46086|46287|46215|46173|46197|46281|46332|46275|46158|46020|46044|46359|46293|46065|46212|46032|46344|46089|46098|46302|46260|46248|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46023|46092|46290|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46188|46152|46269|46017|46203|45999|46071|46083|46230|46374|46170|46104|46326|46140|46191|46377|46308|46233|46131|46056","5.99E-35","","GO:0048519","3.1679853713888946","0"
"73","25","GO Biological Process","","Regulation of miRNA metabolic process","7.15E-31","NFKB1|SPI1|EGR1|SOX9|RARA|STAT3|SRF|GATA6|TP53|SMAD1|FOS|REST|SMAD3|MYB|GATA2|JUN|ZC3H12A|KLF5|WT1|GATA3|ETS1|RELA|PPARA|HIF1A|MYC","45910","46254|46314|46296|46239|46323|46305|46368|46278|46335|46317|46002|46122|46215|46332|46044|46302|46350|46257|46242|46125|46290|46200|46119|46071|46191","2.1E-33","","GO:2000628","3.014569395819892","0"
"584","43","GO Molecular Function","","Chromatin binding","7.04E-30","NFKB1|SPI1|EGR1|EGR2|SOX9|RARA|SMAD2|STAT3|TP63|SRF|JDP2|GATA6|TP53|CEBPB|FOS|SP3|REST|EZH2|SMAD3|ATF4|JARID2|GATA2|GABPA|JUN|RUNX2|YBX1|ZC3H12A|ATRX|NR5A1|E2F4|URI1|NFATC2|RELA|RARG|MITF|HMGA1|HSF1|FLI1|HNF1A|MEF2A|NR1H3|CTNNB1|TFAP2A","45910","46254|46314|46296|46251|46239|46323|46113|46305|46128|46368|46155|46278|46335|46053|46002|46218|46122|46026|46215|46197|46275|46044|46065|46302|46260|46248|46350|46299|46320|46362|46092|46347|46200|46107|46146|46152|46203|46041|46083|46170|46140|46233|46056","3.0E-32","","GO:0003682","2.9152427340857887","0"
"256","33","GO Cellular Component","","RNA polymerase II transcription regulator complex","1.49E-29","CEBPE|RARA|ATF1|SMAD2|E2F3|STAT3|JDP2|RUNX1|JUNB|CEBPB|SMAD1|FOS|STAT2|SMAD3|ATF4|MYB|E2F1|NFYA|POU2F1|JUN|NR5A1|TFDP1|E2F4|POU2AF1|NFATC2|NFE2L2|HMGA1|CBFB|HIF1A|CEBPG|NR1H3|MYC|CTNNB1","45910","46380|46323|46164|46113|46074|46305|46155|46194|46272|46053|46317|46002|46038|46215|46197|46332|46020|46134|46089|46302|46320|46341|46362|46236|46347|46221|46152|46269|46071|46143|46140|46191|46233","8.73E-32","","GO:0090575","2.8826813731587726","0"
"1146","54","GO Biological Process","","Positive regulation of gene expression","3.07E-29","CEBPE|SPI1|EGR1|IRF1|SOX9|RARA|NR0B2|SMAD2|MAPK3|PPM1F|STAT3|KAT6A|GATA6|TP53|RUNX1|CEBPB|SMAD1|REST|GSK3B|PGR|SP1|SMAD3|ATF4|E2F1|GATA2|GABPA|KDM5B|RUNX2|YBX1|ZC3H12A|NR5A1|WT1|GATA3|SRY|ETS1|POU2AF1|MAPK8|NFATC2|NFE2L2|RELA|RARG|MITF|UHMK1|HSF1|HIF1A|HNF1A|AKT1|MEF2A|CEBPG|MYC|NR4A3|CTNNB1|DLX5|TFAP2A","45910","46380|46314|46296|46329|46239|46323|46356|46113|46029|46365|46305|46185|46278|46335|46194|46053|46317|46122|46338|46227|46182|46215|46197|46020|46044|46065|46344|46260|46248|46350|46320|46242|46125|46023|46290|46236|46284|46347|46221|46200|46107|46146|46383|46203|46071|46083|46374|46170|46143|46191|46377|46233|46179|46056","9.19E-32","","GO:0010628","2.8512861624522814","0"
"62","23","GO Biological Process","","Regulation of miRNA transcription","6.36E-29","SPI1|EGR1|SOX9|RARA|STAT3|SRF|GATA6|TP53|SMAD1|FOS|REST|SMAD3|MYB|GATA2|JUN|KLF5|WT1|GATA3|ETS1|RELA|PPARA|HIF1A|MYC","45910","46314|46296|46239|46323|46305|46368|46278|46335|46317|46002|46122|46215|46332|46044|46302|46257|46242|46125|46290|46200|46119|46071|46191","1.95E-31","","GO:1902893","2.8196542884351588","0"
"11025","129","GO Biological Process","","Regulation of cellular process","7.81E-29","CEBPE|USF2|NFKB1|SPI1|CYP27B1|NANOG|EGR1|AHR|EGR2|IRF1|SOX9|DPF2|RARA|NR0B2|PTPRE|ATF1|SMAD2|CSNK2A2|E2F3|MAPK3|PPM1F|EPAS1|STAT3|TP63|CASP6|SRF|KAT6A|JDP2|GATA6|TP53|REL|TLX3|PLK1|RUNX1|JUNB|CEBPB|SMAD1|FOS|PRKACA|SP3|REST|STAT2|CLK4|EZH2|GSK3B|PGR|SP1|PRKCD|KLHL22|RARB|SMAD3|PTPRB|ATF4|CDK10|MYB|JARID2|FOXM1|E2F1|GATA2|NFYA|DUSP9|DUSP19|GABPA|WWP2|ETS2|KDM5B|POU2F1|THEM4|NFKB2|JUN|RUNX2|NCOA3|YBX1|MTF1|ZC3H12A|STK40|ATRX|NR5A1|TFDP1|SP2|SF1|KLF5|WT1|GATA3|E2F4|GLRX|SRY|URI1|ETS1|POU2AF1|NR2F2|MAPK8|NFATC2|NFE2L2|HMX1|RELA|PPARA|RARG|NFATC1|MITF|DCAF1|TNIK|SATB1|HMGA1|EWSR1|HIPK1|CBFB|PTPRG|UHMK1|HSF1|FLI1|LATS1|HIF1A|HNF1A|NKRF|SP7|AKT1|MEF2A|GTF2I|CEBPG|RIOX1|NR1H3|MYC|NR4A3|PITX2|CTNNB1|DLX5|ENC1|TFAP2A","45910","46380|46371|46254|46314|46101|46245|46296|46206|46251|46329|46239|46050|46323|46356|46176|46164|46113|46080|46074|46029|46365|46386|46305|46128|46167|46368|46185|46155|46278|46335|46005|46047|46035|46194|46272|46053|46317|46002|46014|46218|46122|46038|46095|46026|46338|46227|46182|46008|46086|46287|46215|46173|46197|46281|46332|46275|46158|46020|46044|46134|46359|46293|46065|46212|46032|46344|46089|46137|46098|46302|46260|46263|46248|46116|46350|46011|46299|46320|46341|46224|46110|46257|46242|46125|46362|46068|46023|46092|46290|46236|46077|46284|46347|46221|46266|46200|46119|46107|46311|46146|46353|46209|46188|46152|46062|46149|46269|46017|46383|46203|46041|45999|46071|46083|46230|46059|46374|46170|46104|46143|46326|46140|46191|46377|46308|46233|46179|46131|46056","2.44E-31","","GO:0050794","2.81073489661227","0"
