"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"RUNX2","M",0,100,0,100
"RXRA","M",0,100,0,100
"SATB1","M",0,100,0,100
"SENP3","P",0,0,100,-100
"SF1","",49,0,51,-51
"SIRT1","M",0,100,0,100
"SMAD1","M",0,100,0,100
"SMAD2","M",0,100,0,100
"SMAD3","M",0,100,0,100
"SMAD4","M",0,100,0,100
"SMARCA1","M",0,100,0,100
"SNAI1","M",0,100,0,100
"SNAI2","M",0,0,100,-100
"SOX10","M",0,100,0,100
"SOX2","M",0,0,100,-100
"SOX9","M",0,100,0,100
"SP1","M",0,100,0,100
"SP2","P",0,0,100,-100
"SP3","M",0,100,0,100
"SP7","M",0,100,0,100
"SPI1","M",0,100,0,100
"SPIB","",0,100,0,100
"SREBF1","M",0,0,100,-100
"SREBF2","M",0,100,0,100
"SRF","M",0,100,0,100
"SRY","M",0,100,0,100
"SSRP1","M",0,100,0,100
"SSRP1_SUPT16H","P",50,50,0,50
"STAT2","M",0,100,0,100
"STAT3","M",0,100,0,100
"STAT5A","M",0,0,100,-100
"STAT5B","M",0,100,0,100
"STAT6","M",0,0,100,-100
"STK11","",0,0,100,-100
"STK38","",0,0,100,-100
"STK40","P",99,0,1,-1
"SUMO2","",0,100,0,100
"TAL1","M",0,100,0,100
"TBP","M",0,100,0,100
"TBX2","M",0,100,0,100
"TCF3","M",0,100,0,100
"TCF7L2","M",0,100,0,100
"TFAP2A","M",0,100,0,100
"TFAP4","M",0,100,0,100
"TFCP2","M",0,100,0,100
"TFDP1","M",0,100,0,100
"TFE3","M",0,100,0,100
"TJP2","P",0,100,0,100
"TLX3","P",0,0,100,-100
"TP63","M",0,100,0,100
"TP73","M",0,100,0,100
"TTF1","M",0,0,100,-100
"TWIST1","M",0,100,0,100
"UBA52_UBE2A","P",98,0,2,-2
"UBA52_UBE2D3","P",99,1,0,1
"UBA52_UBE2E1","P",99,1,0,1
"UBA52_UBE2J1","P",97,3,0,3
"UBA52_UBE2K","P",98,2,0,2
"UBA52_UBE2Q2","P",99,1,0,1
"UBA52_UBE2S","P",98,2,0,2
"UBB_UBE2C","P",99,1,0,1
"UBB_UBE2D3","P",99,1,0,1
