"Node1","Sign","Node2","Weight"
"RPS27A_UBE2T",1,"DTX1",4
"RPS27A_UBE2T",1,"HUWE1",4
"RPS27A_UBE2T",1,"RLIM",4
"RPS27A_UBE2T",1,"SMURF1",4
"RPS27A_UBE2T",1,"TRIM25",4
"RPS27A_UBE2T",1,"WWP2",4
"RPS27A_UBE2V2",1,"BRCA1",2
"RPS27A_UBE2V2",1,"RNF4",2
"RXRA",1,"NR1H3",100
"RXRA",1,"NR1H4",100
"RXRA",1,"PPARA",100
"RXRA",1,"RARG",100
"SF1",-1,"EWSR1",100
"SMAD1",1,"RUNX2",100
"SMAD1",1,"SMAD4",100
"SMAD2",1,"LEF1",100
"SMAD2",1,"MEF2A",100
"SMAD2",1,"NANOG",100
"SMAD2",1,"SMAD4",100
"SMAD2",1,"SP1",100
"SMAD2",1,"TCF7L2",100
"SMAD3",1,"GATA3",100
"SMAD3",1,"LEF1",100
"SMAD3",1,"MEF2C",100
"SMAD3",1,"NANOG",100
"SMAD3",1,"SMAD4",100
"SMAD3",1,"TCF7L2",100
"SMAD4",1,"ATF1",100
"SMAD4",1,"FOS",100
"SMAD4",1,"LEF1",100
"SMAD4",1,"MEF2A",100
"SMAD5",1,"SMAD4",100
"SMURF1",-1,"NFIC",100
"SMURF1",-1,"RUNX2",100
"SMURF1",-1,"SMAD1",100
"SMURF1",-1,"SMAD4",100
"SMURF1",-1,"SMAD5",100
"SMURF1",1,"SMAD7",100
"SOX2",1,"NANOG",100
"SOX9",1,"MITF",100
"SP1",1,"SMARCA1",100
"SP1",1,"SREBF1",100
"SP2",1,"IRF1",98
"SPI1",-1,"TAL1",100
"SPI1",1,"IRF8",100
"SPIB",-1,"PRDM1",100
"SRC",-1,"RUNX3",100
"SRC",1,"AKT1",100
"SRC",1,"CAV1",2
"SRC",1,"CHUK",100
"SRC",1,"CTNNB1",100
"SRC",1,"FOS",100
"SRC",1,"FOXM1",100
"SRC",1,"IRF3",100
"SRC",1,"IRF4",100
"SRC",1,"JAK2",55
"SRC",1,"RUNX1",100
"SRC",1,"RXRA",100
"SRC",1,"SMAD3",100
"SRC",1,"STAT1",100
"SRC",1,"STAT3",100
"SRC",1,"STAT5A",100
"SRC",1,"STAT5B",100
"SSRP1_SUPT16H",1,"CSNK2A1",100
"STAT1",1,"ARNT",100
"STAT1",1,"IRF1",100
"STAT1",1,"IRF2",100
"STAT1",1,"IRF8",100
"STAT2",1,"STAT1",100
"STAT3",1,"EGR1",100
"STAT3",1,"JUNB",100
"STAT3",1,"KLF4",100
"STAT3",1,"RELA",100
"STAT3",1,"SPI1",100
"STAT6",1,"GATA3",100
"STK11",-1,"ETV4",100
"STK11",-1,"SMAD4",100
"STK33",1,"MAPK1",74
"SUMO1",-1,"ELF4",99
"SUMO1",-1,"SRF",99
"SUMO1",1,"ZBTB16",99
"SUMO2",-1,"ELF4",1
"TBX2",-1,"MYOG",100
"TCF3",1,"MYOD1",100
"THRB",-1,"GATA2",100
"TP73",1,"CASP6",100
"TRIM25",-1,"ERG",100
"TRIM25",-1,"KLF5",100
"UBA1_UBA52",1,"UBE2I",5
"UBA1_UBB",1,"UBE2I",8
"UBA1_UBC",1,"UBE2I",28
"UBA52_UBA6",1,"UBE2I",4
"UBA52_UBE2A",1,"BRCA1",2
"UBA52_UBE2A",1,"RNF4",2
"UBA52_UBE2D3",1,"DTX1",1
"UBA52_UBE2D3",1,"HUWE1",1
"UBA52_UBE2D3",1,"RLIM",1
"UBA52_UBE2D3",1,"SMURF1",1
"UBA52_UBE2D3",1,"TRIM25",1
"UBA52_UBE2D3",1,"WWP2",1
"UBA52_UBE2E1",1,"DTX1",4
"UBA52_UBE2E1",1,"HUWE1",4
"UBA52_UBE2E1",1,"RLIM",4
"UBA52_UBE2E1",1,"SMURF1",4
"UBA52_UBE2E1",1,"TRIM25",4
"UBA52_UBE2E1",1,"WWP2",4
"UBA52_UBE2G2",1,"DTX1",1
"UBA52_UBE2G2",1,"HUWE1",1
"UBA52_UBE2G2",1,"RLIM",1
"UBA52_UBE2G2",1,"SMURF1",1
"UBA52_UBE2G2",1,"TRIM25",1
"UBA52_UBE2G2",1,"WWP2",1
"UBA52_UBE2L3",1,"DTX1",50
"UBA52_UBE2L3",1,"HUWE1",50
"UBA52_UBE2L3",1,"RLIM",50
"UBA52_UBE2L3",1,"SMURF1",50
"UBA52_UBE2L3",1,"TRIM25",50
"UBA52_UBE2L3",1,"WWP2",50
"UBA52_UBE2Q1",1,"BRCA1",3
"UBA52_UBE2Q1",1,"RNF4",3
"UBA52_UBE2U",1,"DTX1",7
"UBA52_UBE2U",1,"HUWE1",7
"UBA52_UBE2U",1,"RLIM",7
