"Node","NodeType","ZeroAct","UpAct","DownAct","AvgAct"
"ARHGEF10","",100,0,0,0
"ARHGEF11","",100,0,0,0
"ARHGEF12","",100,0,0,0
"ARHGEF15","",100,0,0,0
"ARHGEF17","",100,0,0,0
"ARHGEF18","",100,0,0,0
"ARHGEF19","",100,0,0,0
"ARHGEF2","",100,0,0,0
"ARHGEF25","",100,0,0,0
"ARHGEF26","",100,0,0,0
"ARHGEF28","",100,0,0,0
"ARHGEF3","",100,0,0,0
"ARHGEF4","",100,0,0,0
"ARHGEF5","",100,0,0,0
"ARHGEF6","",100,0,0,0
"ARHGEF7","",100,0,0,0
"ARHGEF9","",100,0,0,0
"ARID4B_BRMS1_HDAC1_HDAC2_ING1_ING2_RBBP4_RBBP7_RBP1_SAP18_SAP30_SIN3A_SUDS3","",100,0,0,0
"ARID5B","",100,0,0,0
"ARIH1","",100,0,0,0
"ARIH2","",100,0,0,0
"ARMC10","",100,0,0,0
"ARNT","M",0,0,100,-100
"ARNT_HIF1A","",100,0,0,0
"ARPC2","",100,0,0,0
"ARPP19","",100,0,0,0
"ARRB1","",100,0,0,0
"ARRB2","",100,0,0,0
"ARSA","",100,0,0,0
"ARTN","",100,0,0,0
"ARVCF","",100,0,0,0
"ASAP1","",100,0,0,0
"ASAP2","",100,0,0,0
"ASAP3","",100,0,0,0
"ASB11","",100,0,0,0
"ASB2","",100,0,0,0
"ASB3","",100,0,0,0
"ASB4","",100,0,0,0
"ASB9","",100,0,0,0
"ASF1A","",100,0,0,0
"ASF1B","",100,0,0,0
"ASH1L","",100,0,0,0
"ASH2L","",100,0,0,0
"ASH2L_DPY30_HCFC1_HCFC2_KMT2A_KMT2D_MEN1_RBBP5_WDR5_WDR82","",100,0,0,0
"ASH2L_DPY30_KDM6A_KMT2B_KMT2C_NCOA6_PAXIP1_RBBP5_WDR5","",100,0,0,0
"ASH2L_DPY30_KMT2A_RBBP5_SETD1A_SETD1B_WDR5","",100,0,0,0
