"","P16902_146","P16902_147","P16902_148","P16902_144","P16902_145","P16902_149"
"UNG",8.65935939785746,8.74254619225178,8.87317169905804,9.27625363774384,8.88341544025648,9.40766708065872
"FMO4",5.46268370782665,5.83429039028268,5.69565584988958,5.83193623690723,5.23931319139556,6.7682951030033
"KLHL20",9.42466593791179,9.47258506944051,9.50935410664662,9.31782845723895,9.51277494470214,9.04762315352636
"RGS11",6.41762377436216,5.97458977678836,5.56693702969189,6.28425515241289,6.59320902990356,5.94713050764567
"SLC46A1",8.45353685457023,8.17456027369429,8.10456986944914,8.17990596670228,8.50856160689741,7.81263346922393
"PLXNA2",12.450948751729,12.4368876617649,12.8845746367443,12.6015742991665,12.7227720277572,11.8505142960659
"SPAG5",7.84825812045836,7.92349862982285,8.74209121903283,9.46530583518882,8.35166441534884,9.72276850315806
"ANKRD13A",10.1431067925433,10.1397017035931,10.0643988760589,10.2055701875644,10.1651430073538,9.89885563104635
"TPD52",8.36406493692669,8.49819140515285,8.28281454063482,7.77487844920169,7.9291922595515,6.70857049326097
"ACACB",7.36877029660064,7.07485915820495,7.72786621708424,7.63524574948286,7.23708728805804,8.51895526805538
"TRAF4",9.98084693001903,9.72383011176354,9.97582425945368,10.3972621468001,10.07750036543,10.0786958229421
"PAG1",11.1348522866533,11.0726960223198,10.821680651018,11.2499066445645,10.891108626485,10.9676033454723
