"","P13555_106","P13555_109","P13555_110","P13555_116","P13555_118","P13555_119","P13555_120","P13555_210","P13555_211","P13555_212"
"MAPK6",12.1280410953553,12.2959883264097,12.2978881237658,12.023388827589,12.3361177220051,12.3977516407664,12.4413646456231,11.7941957160334,11.8208858438481,12.0786281478875
"GNB5",8.29926633136119,8.01709926074195,8.26657959089144,8.32364143393298,8.19635706526768,8.08775151255427,8.20527942166754,7.98311133525411,8.22678402513794,8.36122159837214
"RAB27A",6.36567603283874,6.29652552391053,6.61338399946319,6.63276479917843,6.69297292686755,6.75087661363176,6.53492971651896,6.16592571766069,6.36139568354061,6.97433717384984
"CECR5",7.8965771790891,7.67162394645322,7.41417113612778,8.44451616069986,8.18021328290961,7.69001964486378,7.92104618312834,8.10678224399629,8.02295206544306,8.93932483541164
"UFD1L",10.1212842151698,9.93911399815325,10.1862286904175,9.90024902215329,10.022902340296,10.2452963915888,10.015714627587,9.86809140960225,9.70358752737987,10.0365894930281
"LRP6",12.3887400079632,12.5145464689979,12.4750831137689,11.964180043192,12.2122067779575,12.4890203887991,12.5098204782182,12.338027310811,12.330135797194,12.0267406155634
"PHRF1",8.42279138331044,8.21505437935363,8.57333817692752,8.75993459349542,8.63531476187216,8.23682856703585,8.54410238868597,8.97285560147058,9.1703868158463,8.92180685799838
"IKBKAP",11.3190496108805,11.2840573663627,11.3175480154419,11.0004794226017,11.0209312828263,11.1287921167323,11.1470945296892,10.9984624670575,10.7939184272676,10.939090791551
"NUCB2",9.21411985272985,9.10443349181577,9.42751469398519,9.22869013686219,9.46714499690488,9.35220606362741,9.13138693982749,8.9756680754961,9.15940733675813,9.59645159631107
"PFN2",12.0746181442684,11.8041087182226,11.9168277618111,12.1699580438219,12.1799125201717,12.0770240982965,11.9770020365627,11.4829498944308,11.4755692657606,12.413671801146
"PTPN3",5.1539313635356,5.2484107202343,5.52286767073548,6.00595668740216,5.73350452351535,6.07438566279539,5.94637381763887,5.31751899674637,5.14261493160186,6.42287320797403
"SPTB",4.33057497578978,4.33057497578978,4.33057497578978,5.31336017641667,4.80179550786164,4.94326711770608,4.63083304763756,4.33057497578978,4.33057497578978,4.96415089569497
"FGF10",7.86893875954878,7.44352179938848,7.69585871832677,8.79193775180793,8.00786367171579,8.18273111275761,8.20097756426584,6.9078037082647,7.48124197615735,8.79922467377409
"SLC44A1",10.0739882171931,10.0387734449062,9.87031599515711,9.54231966333274,10.2883119762317,10.3922901543832,10.3696669892651,9.7417606242419,9.71299842217676,9.92393238225062
