"ID","statistic","log2FoldChange","padj"
"TTC34",1.02974276870685,0.402158153752921,0.575487709969131
"MIR873",-3.39990992505861,-2.14199981868916,0.0140691341423825
"MIR921",-1.43673283846292,-1.62729487494064,0.402847070077635
"MIR300",-4.04076094535587,-6.56349234416668,0.00213602528622753
"MIR876",-2.97411626667572,-1.79399042419853,0.0395650903226467
"MIR933",-1.08078054699273,-0.8131070478678,0.552356094368901
"MIR938",-1.57655288800683,-1.4691799779065,0.349526328328113
"MIR889",-3.33298940090323,-5.67062621835625,0.0165317895142041
"MIR541",-3.93158172603788,-5.54909324488849,0.00308571736591757
"RPSAP43",-1.12276263501799,-1.03839537246968,0.534403808771981
"TUBB2BP1",-0.952118243982381,-0.582888718715328,0.611205339219018
"CCDC7",1.71881060826863,0.576660624147337,0.298877367527199
"RPL21P65",-1.05517280474956,-0.575765689706184,0.564126879365056
"HSPD1P10",-0.896893680115974,-0.934846737161452,0.636248986042871
"FNIP1",-1.30854761350122,-0.203783244358558,0.456169818138391
"LARP1P1",0.757447313310855,0.659246267363652,0.699602163296476
"SP9",1.54351659939323,0.963668405361506,0.362039446877905
"SYCE3",-0.107800467121004,-0.112320935009434,0.96442553203707
"RPS16P5",-1.97949966221799,-0.951001700593475,0.217684436458761
"CKLF",-0.558650387920639,-0.177067945816105,0.789694722036851
"CCT7P1",-3.7172509787301,-2.72579207965244,0.0059520286324688
"LDHAL6FP",-0.0666755058491651,-0.0825113337623088,0.978444227645403
"PAM16",-1.60939741931258,-1.19776080899475,0.337984348907739
"MORF4L1P1",0.752996785780329,0.118196947765266,0.701151295024769
"TENM3",2.19571686734498,0.85113254200937,0.160797039875417
"VN1R14P",0.698804455181885,0.37551294420088,0.72740984584044
"NDUFS5P1",-2.16593447632716,-3.50342823694214,0.167778359936752
"FCF1P10",-0.497244590095223,-0.671769594547869,0.815153569502527
"LINC00339",1.46412961001529,0.274246565507513,0.39198053215575
"RPL5P21",-1.63743049052752,-2.01077402657032,0.327577328908295
"CEBPZ-AS1",0.402488613757261,0.0914571119055473,0.854578386163911
"PAPOLB",-2.38747608530327,-1.17421810382333,0.118511834653321
"ZNF579",0.144591943239903,0.0586412437447437,0.95254748592274
"RPS3AP2",1.19280676125923,0.942784359533896,0.504731996555354
"NPM1P37",-1.86411497966619,-0.620188128361789,0.251629208518901
"RNASEK",0.849000131738507,0.362504956871833,0.658996717696133
"RPL31P52",-1.62104974758281,-1.36535233951162,0.333409303843167
"HSPA8P15",-1.15228566754124,-0.487472609782989,0.521025375108091
"FAM19A5",-8.8450797339168,-11.1402856486007,9.04378309736558e-16
"NBPF1",-0.430764767383013,-0.066442329257579,0.844241646038541
"FTH1P8",0.937018810227733,1.04317231919106,0.617351783603596
