"","statistic"
"SOAT1",-0.42827747572122
"PKP2",-1.01773302485497
"MSH4",0.249649044169439
"F7",-0.993080470924593
"GDI2",-0.347168154497612
"PRDM1",-0.772865589254726
"ATG5",-0.404954601677192
"TMCC3",-1.44583815124763
"PITHD1",-0.343948893973206
"MTA3",-0.924924029373008
"USP13",-0.183063587374259
"ATP11B",0.742812077714553
"LAMC2",-0.889386640280077
"CDK14",0.923857118064368
"SEC61A1",2.15091616123117
"PPP1R12A",0.0692300467832013
"RASGRF1",-2.10359628153992
"CAMK2B",-1.09109286295659
"CROCC",1.93223294772054
"POLR3E",0.792248076376873
"ATP2B4",1.4038595413505
"ZC3H11A",1.48002227088411
"RIOK2",1.8972656869788
"YIPF1",2.19731891448722
"NDC1",1.21340014516029
"DGKG",-5.09596299512151
"FLYWCH1",-0.162125492590472
"UNKL",0.850152104703988
"TBXAS1",-1.1224012755368
"PARP12",0.262754425402183
"ALDH18A1",1.40512275330254
"TARBP1",-3.37683054825288
"PET112",0.213013172954563
"MXD1",-1.65090297539988
"CDK17",1.86808591971145
"DNAJC25",-1.27444283140543
"SLC2A3",-1.64375836630902
"PSD",-0.92186209546413
"CTDP1",0.932582679296744
"YBX3",3.31707391430996
"STYK1",-1.04402002307217
"WNK1",-0.627616525345277
"CCAR1",0.400016772545511
"OGFR",2.58203562118374
"PIGV",0.694732670461615
"PTPRU",-2.56641658243822
"SNRNP40",1.7216580801845
"RIMBP2",-2.90801793636562
"COL11A1",1.81573218735462
"QSER1",0.562915132718222
"MPC1",0.0328395922588452
"ACAA1",1.38076683831303
"BCAT1",-1.19444873408054
"HDAC7",2.0446906011102
"LZTS1",-0.297607424803804
"PRDM6",-1.330970393718
"SPAG4",-1.80012237512993
"NCKAP1",-0.335265214794123
"MRPS35",0.191726385587384
"GUCY1B3",-1.59633829205394
"SFSWAP",1.37164516456843
"TNK2",-0.283144820814336
"MON2",-0.502414408710285
"CDH3",-1.7634459375257
"ARSF",2.19338443331673
"GPBP1",0.732301612658269
"DGAT2",-1.56503239711658
"ZNF112",-0.58732225722559
"CS",-1.01993416463101
"LTK",-0.366095418784893
"MRPS24",-0.467224560544009
"ELMO2",-0.661182702209217
"WAPAL",1.36633276273759
"VMP1",-1.70291737530072
"APPBP2",0.905509006532491
"POLD1",1.79583074550435
"SEZ6",-1.54000642354418
"EIF4B",2.39578357267596
"SLC6A16",1.49685633169088
"GLTSCR1",-0.895871125167593
"SPHK2",0.445061426199522
"RPL18",1.80185360534265
"CA11",1.19497848705056
"ISOC2",1.64075117307192
"U2AF2",3.36356940532753
"EPN1",0.256397144101148
"MED29",1.32047479873407
"AHRR",-2.65671855612766
"ZNF275",0.602193626460737
"MTMR1",-0.330245114445697
"GPC1",0.00972665117257922
"ADCK1",-0.158172525466345
"HAGH",1.27269950018332
"RNF4",0.659595412419075
"CASP8",2.57339379114862
"LIMCH1",-2.93795632838388
"ASUN",0.853295134559499
"TM7SF3",-0.157251133857064
"SPA17",2.70380778036537
"ST3GAL6",0.469353733348545
"ATP2C2",-1.06243961710144
"NGFR",4.78612833920594
"CDON",0.889114305171591
"TAF2",0.0694638260966073
"HIPK2",-1.27475044370818
"TNPO3",4.10897056649092
"RFXANK",2.08736442353598
"TMEM161A",3.47994283160086
"LPAR2",0.464177998494674
"CTSA",2.10317053159247
"SUGP2",-0.248182505423722
"SLC12A2",1.48041128807739
"SNX24",1.30470325804099
"EYA2",1.59695047016512
"CNN2",2.4363745996336
"ABCA7",0.912616334720869
"SNCAIP",0.211341347042415
"DDX20",2.32488569643361
"BTBD1",-0.544157670968835
"FAR2",-3.38727622192203
"BCAS1",0.917960908533472
"SBNO2",1.07597307552429
"PMS1",0.233953180739205
"HMG20B",2.878034995371
"CALCRL",1.6757583432691
"TAF11",0.62966404019775
"ANKS1A",0.0433587599050289
"AP3D1",0.564261982818509
"ZNF76",0.78234889984654
"SLC9A3R2",0.0565801064460851
"NTHL1",1.17716055356102
"UHRF1BP1",-0.761297214338863
"GNAI3",1.51979596765228
"IPO5",2.26837791137869
"OAT",-0.190221691834259
"WDR3",-0.202459244197705
"PKN2",1.22549340380966
"WDR18",0.367875976277489
"TRAM2",0.629505180636172
"NTN1",0.173580274042768
"MCM10",2.25364857633296
"DGKA",0.94208961163577
"ERBB3",1.48930963398158
"ANKRD44",-2.27347138403435
"KARS",1.58115917792296
"ADAT1",-1.41596328926317
"PDIA5",1.40946755181515
"TBC1D22B",-0.656944992281433
"NDUFB4",2.00338566603713
"SPEN",-1.72033600777306
"MYLK",1.29172912767564
"ZC3H15",-0.782614907941908
"MAP2K4",-0.0769213963916761
"TMEM206",2.36535056273806
"SNAP91",-1.53475559300822
"SLK",0.752042851003768
"CYB5R4",-1.61987011607282
"GSTO2",-0.294582085151372
"SEC61A2",-2.76988929897532
"PRKCQ",-1.07517403513765
"TLE2",-0.0738843605871213
"ASB1",1.11122546856446
"FAM107B",0.637888619950166
"TBC1D1",2.62137980058695
"CDK13",-0.127470984002474
"MTHFD2",-1.85435414420307
"SLC9A7",-0.662305658355879
"FOXJ2",-1.69090158727746
"YBX1",-0.111866323404838
"PDE4A",-2.19570748788781
"PPP2R5A",2.06551845739308
"CTNNA2",-0.95059849868391
"ELAVL1",0.611680720807991
"DIP2B",-0.174265749731602
"SMARCD1",1.5371178665579
"KDM4A",2.25032194422284
"NFYC",0.587473457754714
"ZMYND12",2.13619208535139
"NGEF",5.40106166307809
"ASPM",1.88987531223087
"ELOVL1",1.43162326318111
"ZNRD1",1.41767216957857
"MPPED2",0.0027841915872201
"ZBTB11",-1.65649448008224
"ATXN3",-0.189948110749791
"GOLGA5",0.445082472528292
"FGFR2",1.06682825183726
"LRRC40",-1.54413279887847
"ISOC1",-1.30912916827246
"EML1",2.08280258791695
"TRMT11",-0.491740494166529
"THUMPD1",1.50332942380427
"MSANTD3",-0.571099783213185
"KIF26A",2.21369537246661
"ATG2B",-0.0578739329021022
"ARFGEF1",-1.04947545568438
"ZFAT",0.834758812923605
"MTFR1",-0.341621393306961
"STAG3",2.65938063595523
"FECH",-0.612916802988641
"MYO9A",-1.96436467104128
"DDX3Y",1.35201093031796
"PFKP",-1.61531844096649
"IDI1",-0.94582092984684
"SP100",1.35837057879671
"KLF6",-0.0380716802762865
"PPAP2A",1.28686739556417
"NEO1",1.78649657423083
"TRAM1",2.25232138186795
"PHKA1",-2.87358966766741
"TNFRSF1A",0.9369128912433
"CACNB1",-0.601808827349687
"EVI5",2.50990196220976
"STOML1",-0.745883992665288
"PKM",1.8358397675056
"DHX29",-0.261696954204295
"DNTTIP2",0.189989488688629
"METTL22",0.485363462067865
"TP53BP1",0.386031124344187
"TRO",0.522521416422076
"RRP15",-1.02120553046399
"RHOA",1.83916590054243
"DHX8",1.80392221480047
"PMS2P4",-1.01636162247737
"PRKCZ",-0.286802570240907
"ZFY",-0.354731749894841
"IARS2",1.1102740809359
"SYT1",-1.97921281518282
