,CD28_146,CD28_147,CD28_148,AD28_144,AD28_145,AD28_149
RPL6,13.70462319,13.7113084,14.17937669,14.39684615,14.01593061,14.65104282
MAPKAPK5,10.81036644,10.9371676,10.7506242,10.58792503,10.56696305,10.41785776
ESF1,9.658359228,9.885887658,9.43465542,9.55494379,9.558902079,9.855525173
RBBP9,10.1726336,10.31129425,10.32489255,10.21389186,10.15774972,10.09391044
ANAPC5,11.72751594,11.65866157,11.50941321,11.54938576,11.50036811,11.49375975
SLC23A2,11.97745916,12.06258306,11.8851366,11.25822828,11.69292868,10.84721995
SLC8B1,6.622181269,6.422721352,6.962953163,6.614215387,6.363160571,6.418763862
TMEM230,10.48705866,10.51574701,10.54639764,11.1826646,10.7250274,11.70007914
DZANK1,9.186971232,9.323449406,8.740682563,9.008876,8.926981658,9.353247943
KDM2B,10.45634493,10.30785801,10.59207692,10.71137597,10.8441379,10.05790354
C20orf26,7.034305653,7.215521678,7.5260397,8.457422765,6.875002088,9.685547057
LHX5,7.852978756,7.348858825,8.027254914,7.625808087,8.328330515,5.443436613
TASP1,9.214455369,9.277299019,8.863429561,9.108476603,9.043276172,9.153062389
GCN1L1,11.49661558,11.31573087,11.812747,11.86018613,11.80858249,12.05534639
RPLP0,14.18697568,14.05611567,14.58835954,14.80261079,14.46902357,15.06443674
PXN,8.212314229,8.18106734,8.409486517,8.649885851,8.301812263,8.730514327
SIRT4,7.084104907,6.699073852,6.980241599,7.088709973,7.23605234,6.806026656
KIF16B,8.997421851,9.142177915,9.182660618,9.096882479,9.01099812,9.778584116
TRMT6,9.440709365,9.293620532,8.925420682,9.121885989,9.050099607,8.982217926
CHGB,11.31582657,11.21722956,10.15818598,10.34855447,11.15604477,8.775649448
PEBP1,13.42314096,13.34595638,13.08708788,13.03682304,13.16037049,12.85910776
BRAP,10.10382805,10.34073692,10.13592405,10.40441752,10.34393369,10.21212164
ERP29,10.89931301,10.63388195,10.7222718,11.06678492,10.99885568,11.54527262
FUS,10.54874902,10.71567269,11.09148807,10.59754232,10.50136442,10.84344884
IGBP1,10.59020433,10.57221012,10.61505583,10.66508664,10.66564004,10.41073903
ZNF302,11.00683372,11.08899779,10.86892515,11.01800123,11.09476974,11.09125275
GRAMD1A,10.00194059,9.426410647,9.837919964,9.768363286,10.0943344,9.281402031
HEPH,8.025355607,8.16587848,5.756666096,9.223109072,9.639459815,10.62184675
CDIP1,10.34772792,10.11553795,10.09611878,10.07324373,10.32626711,9.885187015
CMTM1,6.53288256,6.49327716,6.177445497,6.579543056,6.693547673,6.486414029
KCNH4,6.094717647,5.854757844,5.426495635,4.834780777,5.589912225,4.76402256
GANAB,11.11419709,11.20373712,11.40005627,11.91916355,11.35940291,12.76597017
GMIP,8.871785647,8.535978072,8.968117592,8.814832306,9.320302539,7.884602469
RBM41,9.67822196,9.782366227,9.909670668,9.373172938,9.605925907,9.625291307
BIRC5,8.223223448,8.032582436,9.340384077,9.936992745,8.604005508,10.2884577
LAG3,6.068036034,5.883745863,6.177445497,5.934484555,5.736057427,5.061498642
MLF2,10.53792467,10.35966786,10.42772958,10.51585052,10.69997766,10.45491241
OTUB2,9.222599259,9.11356103,8.476219445,9.17246758,9.329674541,8.750032018
