"","score"
"RARB",1.14184536225073
"RARG",1.05822798573971
"RB1",-0.591709357900598
"RBPJ",1.87449786015403
"REL",0.661198634636567
"RELA",1.40627948083947
"RELB",1.65558504441014
"REST",3.52791447927271
"RORA",-0.602290475160326
"RUNX1",2.08467252308537
"RUNX2",3.07755785055748
"RUNX3",1.15946463764517
"RXRA",0.564954588746005
"SATB1",2.91711692489863
"SATB2",1.17544613867869
"SIRT1",-0.13827879616223
"SMAD1",4.32436346192729
"SMAD2",2.93969577777773
"SMAD3",4.04616562569708
"SMAD4",2.37505949295846
"SMAD5",3.54090801549761
"SMAD7",-1.38560645506444
