"ID","statistic","log2FoldChange","pvalue","padj"
"RDH10",2.71608010226777,1.35509304818265,0.00660599328814296,0.0517758308982196
"AKAP1",-1.11084226164908,-0.349069052788053,0.266636251842437,0.47841991156623
"COIL",-0.605605813664967,-0.0755571973179877,0.544776540894236,0.723839984454247
"TRIM25",1.21205120464713,0.478631420891197,0.225492780510006,0.434827835253241
"SCPEP1",2.05809113972511,1.22401922453119,0.0395813853869919,0.157886644086107
"SPOP",0.402571905418472,0.0559405478256977,0.68726318099168,0.820091259906603
"SLC35B1",0.952581093512682,0.151832875789707,0.340802360317006,0.55143411100678
"TEX14",-1.19215633991234,-0.435792586121609,0.233199949181506,0.4432980525104
"FAM117A",1.31567517543907,0.701153413175796,0.18828308973616,0.391733526802415
"NCAPH",1.75475639971648,1.11637622107548,0.0793009843074428,0.235446656943876
"LRAT",-2.98422640881884,-2.94329387622115,0.00284296320237468,0.02923740511567
"KIAA0922",0.175833385148315,0.0343704887557759,0.86042484068001,0.924665270794302
"MND1",1.04784204284585,0.416054951388112,0.294711388485953,0.505791045320729
"ABCC11",-3.23830652953635,-1.21856430651799,0.00120241543213931,0.0160203906442325
"PAPD5",-1.25093435375516,-0.259970231917931,0.210958428907818,0.418757232697986
"ADCY7",-1.38037984011668,-0.778024040952297,0.167469724008844,0.36616085650011
"CEP89",1.16909622516799,0.163860419843265,0.242364864624883,0.453135508461965
"TSHZ3",0.709066165640004,0.477563636029287,0.478283418008281,0.672251160930704
"ECHDC2",-1.14180816543804,-0.520502292282141,0.253533767511462,0.465493543125918
"TAS2R10",-0.991841303381851,-0.405243236191966,0.321274945766867,0.532347571821071
"PYROXD1",-4.02870268085228,-0.712233839827488,5.60854955210736e-05,0.00172533862050605
"KCNJ8",-0.493013701741075,-0.197724723780752,0.622002905968355,0.777922890840372
"PSPC1",-0.138501623248799,-0.0174150632320729,0.889843986813896,0.940702888063365
"ZNF549",-1.57673873169473,-0.212152166169444,0.114855654423616,0.292693453885367
"A1BG",-1.52649091310929,-0.542884841365481,0.126887651765571,0.311424204632653
"ZSCAN18",2.00037166302967,0.308630769303958,0.0454601459171212,0.171626899139236
"ZNF211",-1.30598547370342,-0.260808012160134,0.191557497548846,0.395715545230952
"PDZRN3",-1.4637801600843,-0.649265358571265,0.143254024993539,0.334883832478582
"RNF2",0.929794858861129,0.12813293650049,0.352477308722621,0.562629495685379
"TRMT1L",0.798078418506819,0.134516638879683,0.424824984515703,0.626761730144896
"SEC22A",-0.0704407133821307,-0.00945946179923599,0.943842887117249,0.970547110676453
"DPPA4",1.812054968304,1.03079803373158,0.0699777034930175,0.219093602037552
"POPDC2",0.785121406339532,0.269055549423615,0.432382390039331,0.634182425463746
"B4GALT4",0.703203459390164,0.208321855335901,0.481928963674631,0.675024586465983
"NAA50",1.20890034813131,0.233000559036835,0.226701132407372,0.435759895785165
"KIF18A",2.30230338465086,1.32435796621328,0.0213180690909837,0.106844925751143
"DESI2",1.06463509294472,0.154978460003023,0.28704109279603,0.499178506582046
"MAPK8IP1",-1.01760575377127,-0.425961807421631,0.308865351877202,0.520187513600148
"CRY2",-0.115503359572365,-0.0205701059497896,0.908046157747093,0.95101038062056
"PEX16",0.206821667054233,0.0688594426000141,0.836149134123918,0.910287830246806
"DEPDC7",-1.30592054313494,-0.472354863181456,0.19157957971981,0.395715545230952
"CAT",1.53311981701848,0.458169251193377,0.125246335794426,0.308728452111362
"PILRB",3.90268145672077,1.08158771300005,9.51328684969872e-05,0.00253835911015541
"ZMYM2",-2.17349056755625,-0.193263512436545,0.0297434149746709,0.131862971770252
"TBC1D15",-0.466346380075307,-0.074016392318442,0.640967585397337,0.79003815312208
"BAI2",-0.382331920418332,-0.158938869381901,0.70221518082019,0.82907229793497
"HCRTR1",-0.502672789220549,-0.425481061541577,0.615194343852409,0.773082676202068
"ZCCHC17",-0.440689715092519,-0.124733997017117,0.65943764336409,0.80185967659286
"FABP3",-3.63401109145811,-1.43885633891078,0.00027904885784423,0.00564081905644523
"KHDRBS1",-0.484961487016716,-0.0838870016460696,0.627703665018363,0.781503920276783
"TMEM39B",-1.50992321960963,-0.324685861739846,0.131063017051074,0.317298146073242
"RNF115",-0.972823607993088,-0.205882808309842,0.330640977273451,0.541252647325327
"POLR3GL",2.62698291173335,0.451171185882363,0.00861456600402617,0.061261829025512
"ZNF639",-0.870371147884052,-0.147162897381687,0.384097608770303,0.592084700462977
"SLITRK3",-1.2925606145655,-0.609770793526505,0.196163068931743,0.401574825758826
"PIK3CA",-2.29985254079688,-0.512485462534198,0.0214565756249892,0.107355963253388
"PDS5A",1.41965646493934,0.247885147800426,0.155707718213678,0.350570803905161
"LIAS",0.703257287040553,0.164270365122059,0.481895423986724,0.675024586465983
"CPXM2",-0.960333592870143,-0.991681860910787,0.336887348301793,0.547820897772868
"ZSCAN20",1.32103669796668,0.340213518254655,0.186489128184374,0.389530022811466
"CSMD2",-0.678710670306521,-0.694546236294472,0.497321203939252,0.686904941375741
"HPCA",-0.479353512679778,-0.580716129896767,0.631687158875813,0.783805528623431
"LRIF1",-1.60003586767905,-0.313795310545575,0.109590626681635,0.285218136750054
"CLCC1",0.388604292454402,0.0857819207282241,0.697568890970307,0.826014163719845
"GPSM2",1.92625465045848,0.791021730227113,0.0540725849420503,0.188964602453117
"GTDC1",1.62490794166607,0.662237920036872,0.104182175768598,0.276652487537372
"CXCR4",2.28956045078463,0.822246327626485,0.0220468098458272,0.109224035174929
"ZRANB3",-1.09126121775813,-0.20577868646814,0.275157957557419,0.486871041745094
"ACVR2A",-1.58410612789541,-0.731342318514288,0.113169570132527,0.290411997776395
"POLK",-2.4794229637045,-0.283448955637136,0.0131595153284018,0.0805706067015416
"SV2C",0.521969533130251,0.136103280035286,0.601691543590063,0.764118273849771
"FLT3",-2.03469578035933,-1.63256350432931,0.0418814930491389,0.163328557074596
"RPL21",2.07557553705287,0.413135823121007,0.0379332259063845,0.153818489314893
"MTIF3",1.83440882155125,0.321174554174831,0.066593331117223,0.212767925974858
"GTF3A",-2.73569725267609,-0.357532410620704,0.00622482663240004,0.0498297089233949
"RASL11A",-0.980990371161649,-0.602130030594485,0.32659748989256,0.537080993608186
"UBL3",1.5782119773584,0.57137682788694,0.114516919550825,0.292552788539034
"FYTTD1",-0.123560413182136,-0.0181743842057311,0.901663337926759,0.947175061107038
"MTERFD2",-1.55944570696386,-0.325357359108445,0.118890925363114,0.298855491082477
"OCRL",-2.39049434096058,-0.354198640375258,0.0168257084440527,0.0937124937086171
"MRPS2",1.78428212025861,0.398680518942451,0.0743778340812902,0.227535244941149
"KIAA1191",0.842557880608978,0.105839116663274,0.399475755729308,0.605995453769425
"COPA",1.47369494007168,0.259226010550212,0.140563745838175,0.330980115935013
