"","CD28_146","CD28_147","CD28_148","AD28_144","AD28_145","AD28_149"
"RAB31",10.4826252655319,10.3832424944338,11.330844439907,9.77439642701576,10.4701074407766,10.6452586921972
"ATF6B",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"REEP4",5.72957323233785,5.5456274549866,5.97613665509005,6.50943248847352,5.76497257609518,6.66100280927479
"TNXB",6.42681056633684,6.02004442174313,6.59607309635767,6.79988901273282,6.45407046102826,7.52878349168637
"LGI3",6.74069680797933,6.52774911981808,6.08129140569628,6.01067142296754,7.0381566398127,5.32752344264439
"SFTPC",4.93604197008995,4.35914531646363,4.73884369284858,4.97086399023868,4.94005767761629,4.35914531646363
"BMP1",7.5920450099619,7.20762131880572,8.09798469383259,9.5065088023339,8.38754617941837,9.93996733431776
"ATXN2L",9.92774214651006,9.932578558799,10.5526630158064,9.76324157902815,9.8794714143442,9.36319746762586
"PHYHIP",8.6123741259088,8.27981818820465,7.76708224860049,7.91616011975966,8.41642074009772,7.62418579937893
"CCDC110",6.14052036813484,6.44465345600308,5.97613665509005,6.55848406410613,6.13918213932137,7.03273517599041
"POLR3D",9.92938390904196,9.94409644599438,9.96165452236987,9.91766036328204,9.93522781436107,10.0936742372022
"FEN1",9.40001790430914,9.23627538977276,9.39925892116901,10.104045884658,9.42620889062561,10.1738117464646
"SDPR",5.10069735682757,5.12195258835182,4.73884369284858,6.35004922785338,5.99936357980245,6.67519832622101
"SOGA2",10.9298406031495,10.9624130213198,11.1050389693147,10.7788122373988,10.9623603931333,10.1336833018967
"GBX2",8.31772490803434,8.16093225835436,8.36637960333388,9.09641842643837,8.48275161025415,8.96019041997651
"HFE2",4.35914531646363,4.90163482965664,4.73884369284858,4.83438643075367,4.65106939178425,4.67054971990149
"SCGB1D1",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"HEXIM2",7.43242817073992,7.12742237139893,7.47052569784197,7.48801595603209,7.61264375088025,7.10661350848567
"FNTA",10.8436903183015,10.9869729902647,10.7596006862528,10.6023447968403,10.844246712921,10.747085354417
"SERINC2",6.92878334086731,6.97477390800893,6.84017546084478,7.98219999406039,7.61891396667302,7.92939554329369
"MYL1",4.35914531646363,4.98435150267079,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"TRAPPC11",11.3964782113595,11.538246304335,11.4110587249807,11.3907382718311,11.5068751801435,11.2010153548973
"CHRM1",4.69369021713362,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"COL3A1",9.32462897803658,9.10635716552996,9.54731950144599,14.6390979143146,12.9815726276934,16.2576003719887
"GFRA2",6.84520976199642,6.46170380353563,7.06274475864456,8.92886799805471,8.10198403974604,8.81679906884371
"ING2",8.45671170909893,8.04206162871552,8.26902109118133,8.15613110824909,8.25788379292884,8.38988693687913
"CDKN2AIP",9.8961880119261,9.84004995303634,9.69408304940934,9.95081080349075,10.1592646057048,9.5669756686083
"SNRNP48",8.78221096231474,8.89981002551605,8.90851016103249,8.93108756231554,8.73831378376957,9.38823620688959
"TMEM223",7.86559826471556,7.65407227094574,7.77660427873753,8.15993409203015,8.05214986305456,8.50910426420351
"SLC20A2",10.3106673243722,10.2234937210872,10.1837043146595,10.8519768062069,10.2339125710078,11.9119916003013
"CRYGA",5.02384056115107,5.38247612913412,5.47361308193151,5.08082675542384,4.86307003046385,4.35914531646363
"DYNLRB2",5.44535497380612,4.98435150267079,4.35914531646363,6.73826241110913,5.76497257609518,8.25072921475475
"TMUB2",9.70046248895325,9.31827520636239,9.45621260512691,9.75450549450241,9.67431984397306,9.64693516905293
"ADAM29",7.05761563933393,7.11706260895539,6.59607309635767,7.1204037125984,7.17357636687313,5.22843097597566
"STAT3",11.3964782113595,11.3042241813904,11.6848462970224,11.8416081062713,11.4849732099146,12.4901616557175
"ZSWIM1",8.38650755076802,8.61584958165528,8.44571210272005,8.53816774245009,8.73259261935511,8.53180225364886
"NBPF9",8.8181613205146,8.75994797016387,9.13851549174637,9.26944618661133,9.07523874031143,9.91147881019606
"ADAM9",11.1791911014253,11.25133460962,11.596346222389,12.0329824620472,11.2459546706201,12.7703989173468
"ADAM18",4.35914531646363,4.67357758799739,4.35914531646363,5.02826719118644,4.94005767761629,4.35914531646363
"GDNF",5.02384056115107,4.90163482965664,5.53085556484902,4.90709158054878,5.31160851822618,4.97839906496809
"SPINT5P",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"DPCR1",4.35914531646363,4.35914531646363,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"WFDC13",4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"AXIN2",9.28924397013595,9.21264345516371,8.95505261263953,11.2677065080496,9.68618828954739,11.808459462363
"NDUFS5",10.9485756790467,10.8801379330651,10.8903399187286,11.2602355742528,11.0833519539436,11.478932486702
"VWA3B",5.83099363753164,5.9191063021519,5.90037963104812,7.41926715778773,6.04101120991119,8.87706393854534
"ZNF30",8.64878628964608,8.49936478433338,8.53210375769192,8.70843624838215,8.7997868505139,8.32199913279941
"UGT3A2",4.69369021713362,4.90163482965664,4.35914531646363,4.63435070154248,4.35914531646363,4.35914531646363
"FAM84B",9.15806163120786,9.15180804704334,9.47953526050739,10.7886216972715,9.57567932036145,11.8314418390609
"LDLRAD4",10.2775421204117,10.2187605306456,9.64336652064353,11.6501180175526,9.90381307945468,12.2961954293409
"KCTD19",5.39692153965128,5.5456274549866,5.347210513538,4.83438643075367,5.53224722845499,5.22843097597566
"SLC16A4",6.18907254631381,6.06743588458772,6.1779617706882,7.53598346377311,5.88822671277886,8.39402490781849
"IL7R",4.35914531646363,4.35914531646363,4.35914531646363,4.90709158054878,4.77129005736531,4.35914531646363
"TMEM208",8.8181613205146,8.34231566035926,8.88684586081358,8.91771847966613,8.88732931726319,9.03613300954198
"LRP1B",12.8626437415858,12.9664754342613,13.0385332961052,13.0219038149414,13.3968893590699,12.5772617994843
"WFDC12",4.69369021713362,4.98435150267079,4.35914531646363,4.63435070154248,5.06827075072099,4.67054971990149
"AHCYL1",10.877240501073,10.9645346249377,11.0408845367268,11.3445238523115,10.991931217548,11.7209123579637
"DNAJC21",10.1297405518655,10.2329137421411,9.99843264032163,10.3257580501264,10.1313294837525,10.6243523370751
"PKIG",9.18856892082602,8.89089769433811,9.19246352627626,9.65205597428243,9.51208128395553,9.84674860416715
"NPNT",9.67914933317566,9.35974053637451,7.16914457777557,7.2635891398793,7.74454363482173,6.58765141706888
"C20orf62",4.35914531646363,4.67357758799739,4.35914531646363,4.35914531646363,4.35914531646363,4.35914531646363
"CA7",4.93604197008995,5.05681171942879,4.35914531646363,4.35914531646363,4.35914531646363,4.67054971990149
