"Node1","Node2","Weight"
"BIRC5","-1",0
"BIRC5_LAMTOR5","-1",0
"BIRC6","-1",0
"BIRC6_RPS27A","1",0
"BIRC6_UBA52","1",0
"BIRC6_UBB","1",0
"BIRC6_UBC","1",0
"BIRC7","-1",0
"BLK","1",0
"BLK","-1",0
"BLM","1",0
"BLVRA","1",0
"BMAL1","1",0
"BMAL1","-1",0
"BMAL1_CLOCK","1",0
"BMF","-1",0
"BMI1","1",0
"BMI1","-1",0
"BMP1","1",0
"BMP10","1",0
"BMP15","1",0
"BMP2","1",0
"BMP4","1",0
"BMP5","1",0
"BMP6","1",0
"BMP7","1",0
"BMP8A","1",0
"BMP8B","1",0
"BMPR1A","1",0
"BMPR1A_BMPR1B_BMPR2","1",0
"BMPR1B","1",0
"BMPR2","1",0
"BMX","1",0
"BMX","-1",0
"BNIP1","1",0
"BNIP2","1",0
"BNIP3","-1",0
"BNIP3L","1",0
"BORA","1",0
"BRAF","1",0
"BRAF","-1",0
"BRAP","1",0
"BRAP","-1",0
"BRCA1","1",0
"BRCA1","-1",0
"BRCA2","1",0
"BRCA2_FANCD2_FANCG_XRCC3","1",0
"BRCC3","-1",0
"BRD2","1",0
"BRD3","1",0
"BRD4","1",0
"BRD4","-1",0
"BRDT","1",0
"BRIP1","1",0
"BRK1","1",0
"BRMS1","1",0
"BRMS1","-1",0
"BRSK1","1",0
"BRSK1","-1",0
"BRSK2","1",0
"BSPRY","-1",0
"BTAF1","1",0
"BTC","1",0
"BTF3","1",0
"BTF3","-1",0
"BTG1","1",0
"BTG2","1",0
"BTG2","-1",0
"BTG3","-1",0
"BTK","1",0
"BTK","-1",0
"BTRC","1",0
"BTRC","-1",0
"BTRC_CUL1_SKP1","1",0
"BTRC_CUL1_SKP1","-1",0
"BUB1","1",0
"BUB1","-1",0
"BUB1B","1",0
"BUB1B","-1",0
"BUB1B_BUB3_CDC20_MAD2L1","-1",0
"BZW2","1",0
"C10orf90","1",0
"C1D","1",0
"C1QA_C1QB_C1QC_C1R_C1S","1",0
"C1QBP","1",0
"C1QBP","-1",0
"C1RL","1",0
"C2_C3_C4A_C4B_2","1",0
"C2_C4A_C4B_2","1",0
"C3","1",0
"C3_CFB","1",0
"C5","1",0
"C9orf72","1",0
"CABIN1","-1",0
"CABIN1_HIRA_UBN1","1",0
"CABIN1_HIRA_UBN2","1",0
"CABLES1","-1",0
"CABP1","-1",0
"CADPS","1",0
"CADPS2","1",0
"CALB1","1",0
"CALCA","1",0
"CALCB","1",0
"CALM1","1",0
"CALM1","-1",0
"CALM2","1",0
"CALM2","-1",0
"CALM3","1",0
"CALM3","-1",0
"CALR","1",0
"CALU","-1",0
"CAMK1","1",0
"CAMK1","-1",0
"CAMK1G","1",0
"CAMK2A","1",0
"CAMK2A","-1",0
"CAMK2A_CAMK2B_CAMK2D_CAMK2G","1",0
"CAMK2A_CAMK2B_CAMK2D_CAMK2G","-1",0
"CAMK2B","1",0
"CAMK2B","-1",0
"CAMK2D","1",0
"CAMK2D","-1",0
"CAMK2G","1",0
"CAMK2G","-1",0
"CAMK4","1",0
"CAMK4","-1",0
"CAMKK1","1",0
"CAMKK2","1",0
"CAMP","1",0
"CAND1","-1",0
"CAPN1","1",0
"CAPN1","-1",0
"CAPN1_CAPNS1","1",0
"CAPN2","1",0
"CAPN2","-1",0
"CAPN3","1",0
"CAPN3","-1",0
"CAPNS1","1",0
"CAPRIN1","1",0
"CAPRIN2","1",0
"CARD10","1",0
"CARD11","1",0
"CARD14","1",0
"CARD16","-1",0
"CARD17P","-1",0
"CARD18","-1",0
"CARD8","-1",0
"CARD9","1",0
"CARM1","1",0
"CARM1","-1",0
"CARM1_MAPK12","1",0
"CASC3_EIF4A3_MAGOH_RBM8A","1",0
"CASK","1",0
"CASP1","1",0
"CASP1","-1",0
"CASP10","1",0
"CASP10","-1",0
"CASP12","1",0
"CASP12","-1",0
"CASP1_CASP5_NLRP1_PYCARD","1",0
"CASP1_MEFV_PYCARD","1",0
"CASP1_NAIP_NLRC4_PYCARD","1",0
"CASP1_NLRP1_PYCARD","1",0
"CASP1_NLRP3_PYCARD","1",0
"CASP2","1",0
"CASP2","-1",0
"CASP2_CRADD_PIDD1","1",0
"CASP3","1",0
"CASP3","-1",0
"CASP4","1",0
"CASP5","1",0
"CASP6","1",0
"CASP6","-1",0
"CASP7","1",0
"CASP7","-1",0
"CASP8","1",0
"CASP8","-1",0
"CASP8AP2","1",0
"CASP9","1",0
"CASP9","-1",0
"CASR","1",0
"CAST","-1",0
"CAV1","1",0
"CAV1","-1",0
"CAV3_DAG1_DMD_DTNA_DTNB_LAMA2_NOS1_SGCA_SGCB_SGCD_SGCG_SNTA1_SNTB1_SNTB2_SNTG1_SNTG2","1",0
"CBFA2T3","-1",0
"CBFA2T3_ZNF652","-1",0
"CBFB","1",0
"CBFB_RUNX1","1",0
"CBL","1",0
"CBL","-1",0
"CBLB","1",0
"CBLB","-1",0
"CBLC","-1",0
"CBLL1","-1",0
"CBX1","1",0
"CBX3","1",0
"CBX4","1",0
"CBX4","-1",0
"CBX5","1",0
"CBY1","1",0
"CC2D1A","1",0
"CCAR2","-1",0
"CCDC102B","1",0
"CCDC88C","-1",0
"CCK","1",0
"CCKAR","1",0
"CCKBR","1",0
"CCL1","1",0
"CCL11","1",0
"CCL11","-1",0
"CCL13","1",0
"CCL14","1",0
"CCL15","1",0
"CCL16","1",0
"CCL17","1",0
"CCL18","1",0
"CCL18","-1",0
"CCL19","1",0
"CCL2","1",0
"CCL20","1",0
"CCL21","1",0
"CCL22","1",0
"CCL23","1",0
"CCL24","1",0
"CCL24","-1",0
"CCL25","1",0
"CCL26","1",0
"CCL26","-1",0
"CCL27","1",0
"CCL28","1",0
"CCL3","1",0
"CCL3L1","1",0
"CCL4","1",0
"CCL4","-1",0
"CCL4L1","1",0
"CCL5","1",0
"CCL7","1",0
"CCL7","-1",0
"CCL8","1",0
"CCN1","1",0
"CCN2","1",0
"CCN3","1",0
"CCNA1","-1",0
"CCNA2_CDK1","1",0
"CCNA2_CDK1","-1",0
"CCNA2_CDK18","-1",0
"CCNA2_CDK2","1",0
"CCNA2_CDK2","-1",0
"CCNB1_CDK1","1",0
"CCNB1_CDK1","-1",0
"CCNC","-1",0
"CCNC_CDK19","-1",0
"CCNC_CDK3","-1",0
"CCNC_CDK8_MED12_MED13_MED13L","1",0
"CCNC_CDK8_MED12_MED13_MED13L","-1",0
"CCND1","1",0
"CCND1_CDK4","1",0
"CCND1_CDK4","-1",0
"CCND1_CDK6","1",0
"CCND1_CDK6","-1",0
"CCND2","1",0
"CCND2","-1",0
"CCND3","1",0
"CCND3_CDK11A","1",0
"CCND3_CDK11A","-1",0
"CCND3_CDK11B","1",0
"CCND3_CDK11B","-1",0
"CCND3_CDK6","1",0
"CCND3_CDK6","-1",0
"CCNE1_CDK3","1",0
"CCNE2_CDK2","1",0
"CCNE2_CDK2","-1",0
"CCNF","-1",0
"CCNH","1",0
"CCNH_CDK7_ERCC2_ERCC3_GTF2H1_GTF2H2_GTF2H2C_2_GTF2H3_GTF2H4_GTF2H5_MNAT1","1",0
"CCNH_CDK7_ERCC2_ERCC3_GTF2H1_GTF2H2_GTF2H2C_2_GTF2H3_GTF2H4_GTF2H5_MNAT1","-1",0
"CCNH_CDK7_MNAT1","1",0
"CCNK_CDK12","1",0
"CCNK_CDK13","1",0
"CCNO","1",0
"CCNT1_CCNT2_CDK9","1",0
"CCNT1_CDK9","1",0
"CCNT1_CDK9","-1",0
"CCNY_CDK14","1",0
"CCNY_CDK14","-1",0
"CCNY_CDK16","1",0
"CCNY_CDK16","-1",0
"CCP110","1",0
"CCR5","1",0
"CCR6","1",0
"CCR7","1",0
"CCT2_CCT3_CCT4_CCT5_CCT6A_CCT7_CCT8_TCP1","1",0
"CD14","1",0
"CD163","-1",0
"CD19","1",0
"CD22","1",0
"CD24","1",0
"CD247","1",0
"CD247_CD3D_CD3E_CD3G","1",0
"CD274","1",0
"CD28","1",0
"CD28","-1",0
"CD2AP","1",0
"CD300LB","1",0
"CD34","1",0
"CD3E","1",0
"CD4","1",0
"CD40","1",0
"CD40LG","1",0
"CD40LG","-1",0
"CD48","1",0
"CD55","1",0
"CD58","1",0
"CD58","-1",0
"CD59","-1",0
"CD70","1",0
"CD74","1",0
"CD79A_CD79B_P0DOX3_P0DOX7","1",0
"CD79A_CD79B_P0DOX3_P0DOX8","1",0
"CD79A_CD79B_P0DOX6_P0DOX7","1",0
"CD79A_CD79B_P0DOX6_P0DOX8","1",0
"CD80","1",0
"CD86","1",0
"CDC14A","1",0
"CDC14A","-1",0
"CDC14B","1",0
"CDC14B","-1",0
"CDC20","1",0
"CDC20","-1",0
"CDC25A","1",0
"CDC25A","-1",0
"CDC25B","1",0
"CDC25C","-1",0
"CDC34","1",0
"CDC34","-1",0
"CDC37_HSP90AA1","1",0
"CDC42","1",0
"CDC42","-1",0
"CDC42BPA","1",0
"CDC42BPA","-1",0
"CDC42BPB","1",0
"CDC45","1",0
"CDC5L","1",0
"CDC7","1",0
"CDC7","-1",0
"CDC73","1",0
"CDC73","-1",0
"CDC73_CTR9_LEO1_PAF1_RTF1_SKIC8","1",0
"CDC73_CTR9_LEO1_PAF1_SKIC8","1",0
"CDCA2","1",0
"CDCA3","-1",0
"CDCA5","1",0
"CDCA5","-1",0
"CDCA8_PRC1","1",0
"CDH1","1",0
"CDH1","-1",0
"CDH10","1",0
"CDH11","1",0
"CDH12","1",0
"CDH13","1",0
"CDH15","1",0
"CDH16","1",0
"CDH17","1",0
"CDH18","1",0
"CDH19","1",0
"CDH2","1",0
"CDH20","1",0
"CDH22","1",0
"CDH23","1",0
"CDH23_MYO7A_PCDH15_USH1C_USH1G","1",0
"CDH24","1",0
"CDH3","1",0
"CDH4","1",0
"CDH5","1",0
"CDH6","1",0
"CDH7","1",0
"CDH8","1",0
"CDH9","1",0
"CDK1","1",0
"CDK1","-1",0
"CDK10","-1",0
"CDK11A","1",0
"CDK11A","-1",0
"CDK11B","1",0
"CDK11B","-1",0
"CDK12","1",0
"CDK13","1",0
"CDK13","-1",0
"CDK14","1",0
"CDK14","-1",0
"CDK16","1",0
"CDK16","-1",0
"CDK18","-1",0
"CDK19","1",0
"CDK19","-1",0
"CDK2","1",0
"CDK2","-1",0
"CDK20","1",0
"CDK2AP1","-1",0
"CDK3","1",0
"CDK3","-1",0
"CDK4","1",0
"CDK4","-1",0
"CDK5","1",0
"CDK5","-1",0
"CDK5R1","1",0
"CDK5RAP2","1",0
"CDK5RAP2","-1",0
"CDK5RAP3","1",0
"CDK5RAP3","-1",0
"CDK5_CDK5R1","1",0
"CDK5_CDK5R1","-1",0
"CDK6","1",0
"CDK6","-1",0
"CDK7","1",0
"CDK7","-1",0
"CDK8","1",0
"CDK8","-1",0
"CDK9","1",0
"CDK9","-1",0
"CDKL1","1",0
"CDKL5","-1",0
"CDKN1A","-1",0
"CDKN1B","-1",0
"CDKN2A","-1",0
"CDKN2AIP","1",0
"CDKN2A_MDM2","1",0
"CDKN2B","-1",0
"CDKN2C","1",0
"CDKN2C","-1",0
"CDKN2D","1",0
"CDKN3","1",0
"CDO1","1",0
"CDON","1",0
"CDON_SPAG9","1",0
"CDR2","1",0
"CDT1","1",0
"CDX2","1",0
"CEBPA","1",0
"CEBPA_FOXO1","1",0
"CEBPB","1",0
"CEBPB_FOXO1","1",0
"CEBPB_FOXO1","-1",0
"CEBPE","1",0
"CELF1","1",0
"CELF6","1",0
"CENPC","1",0
"CENPK","1",0
"CENPN","1",0
"CENPS_CENPX","1",0
"CEP135","1",0
"CEP152","1",0
"CEP192","1",0
"CEP250","1",0
"CEP290","1",0
"CEP41","1",0
"CEP43","1",0
"CEP63","1",0
"CEP68","1",0
"CEP72","1",0
"CEP76","-1",0
"CEP85","1",0
"CERK","1",0
"CETN2_RAD23B_XPC","1",0
"CFAP53","1",0
"CFD","1",0
"CFH","1",0
"CFH","-1",0
"CFHR1","1",0
"CFHR1","-1",0
"CFI","-1",0
"CFL1","-1",0
"CFL2","1",0
"CFL2","-1",0
"CFLAR","-1",0
"CFLAR_FAS_RIPK1_TNFRSF10A_TNFRSF1A_TNFSF10_TRADD_TRAF2","1",0
"CGA","1",0
"CGA_TSHB","1",0
"CGB8","1",0
"CGRRF1","-1",0
"CHAD","1",0
"CHAF1A_CHAF1B_RBBP4","1",0
"CHAMP1","1",0
"CHD1","1",0
"CHD2","1",0
"CHD3_CHD4_GATAD2A_GATAD2B_HDAC1_HDAC2_MBD2_MBD3_MTA1_MTA2_MTA3_RBBP4_RBBP7","-1",0
"CHD8","1",0
"CHD8","-1",0
